,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,1.0,inf,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,1.0,inf,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,1.0,inf,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,1.0,inf,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,1.0,inf,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,1.0,inf,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,1.0,inf,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,1.0,inf,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,0,1.0,inf,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,0,1.0,inf,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,0,1.0,inf,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,0,1.0,inf,0
12,1.0,27,10,1.0,0.0,1.0,1.0,0,1.0,inf,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,0,1.0,inf,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,0,1.0,inf,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,0,1.0,inf,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,0,1.0,inf,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,0,1.0,inf,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,0,1.0,inf,0
19,1.0,41,14,0.0,0.0,0.0,0.0,0,1.0,inf,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,0,1.0,inf,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,0,1.0,inf,1991
22,1.0,33,11,1.0,0.0,0.0,1.0,7867,0.9905660377358491,4.653960350157524,6281
23,1.0,18,10,1.0,0.0,0.0,1.0,0,1.0,inf,11163
24,1.0,29,11,1.0,0.0,1.0,1.0,0,1.0,inf,9642
25,1.0,25,11,1.0,0.0,0.0,1.0,0,1.0,inf,9897
26,1.0,27,10,0.0,1.0,0.0,1.0,0,1.0,inf,11142
27,1.0,17,10,1.0,0.0,0.0,1.0,0,1.0,inf,16218
28,1.0,24,11,1.0,0.0,0.0,1.0,0,1.0,inf,995
29,1.0,17,10,1.0,0.0,0.0,1.0,0,1.0,inf,0
30,1.0,26,11,1.0,0.0,1.0,1.0,2754,1.0,inf,26372
31,1.0,25,11,1.0,0.0,1.0,1.0,0,1.0,inf,1574
32,1.0,20,12,1.0,0.0,0.0,0.0,0,1.0,inf,0
33,1.0,25,12,1.0,0.0,0.0,0.0,0,1.0,inf,3191
34,1.0,42,14,1.0,0.0,0.0,0.0,0,1.0,inf,20505
35,1.0,23,12,1.0,0.0,1.0,0.0,0,1.0,inf,5911
36,1.0,46,8,1.0,0.0,1.0,1.0,0,1.0,inf,3094
37,1.0,24,10,1.0,0.0,0.0,1.0,0,1.0,inf,0
38,1.0,21,12,1.0,0.0,0.0,0.0,0,1.0,inf,1254
39,1.0,19,9,0.0,0.0,0.0,1.0,0,1.0,inf,13188
40,1.0,17,8,1.0,0.0,0.0,1.0,0,1.0,inf,8061
41,1.0,18,8,0.0,1.0,1.0,1.0,0,1.0,inf,2787
42,1.0,20,11,1.0,0.0,0.0,1.0,0,1.0,inf,3972
43,1.0,25,11,1.0,0.0,1.0,1.0,0,1.0,inf,0
44,1.0,17,8,1.0,0.0,0.0,1.0,0,1.0,inf,0
45,1.0,17,9,1.0,0.0,0.0,1.0,0,1.0,inf,0
46,1.0,23,12,1.0,0.0,0.0,0.0,0,1.0,inf,4843
47,1.0,28,8,1.0,0.0,0.0,1.0,0,1.0,inf,0
48,1.0,31,11,1.0,0.0,1.0,1.0,0,1.0,inf,8087
49,1.0,18,11,1.0,0.0,0.0,1.0,0,1.0,inf,0
50,1.0,25,12,1.0,0.0,0.0,0.0,0,1.0,inf,2348
51,1.0,30,11,1.0,0.0,1.0,1.0,0,1.0,inf,590
52,1.0,17,10,1.0,0.0,0.0,1.0,0,1.0,inf,0
53,1.0,37,9,1.0,0.0,0.0,1.0,0,1.0,inf,1067
54,1.0,42,14,1.0,0.0,1.0,0.0,0,1.0,inf,13167
55,1.0,22,11,0.0,0.0,0.0,1.0,0,1.0,inf,1048
56,1.0,17,8,1.0,0.0,0.0,1.0,0,1.0,inf,0
57,1.0,29,8,1.0,0.0,0.0,1.0,0,1.0,inf,1923
58,1.0,28,10,1.0,0.0,0.0,1.0,2836,1.0,inf,3196
59,1.0,35,10,1.0,0.0,0.0,1.0,0,1.0,inf,4666
60,1.0,27,11,1.0,0.0,0.0,1.0,0,1.0,inf,549
61,1.0,28,9,1.0,0.0,0.0,1.0,0,1.0,inf,10694
62,1.0,27,11,1.0,0.0,0.0,1.0,0,1.0,inf,0
63,1.0,29,13,1.0,0.0,0.0,0.0,0,1.0,inf,7479
64,1.0,27,9,1.0,0.0,0.0,1.0,0,1.0,inf,0
65,1.0,46,13,1.0,0.0,0.0,0.0,0,1.0,inf,647
66,1.0,25,12,1.0,0.0,0.0,0.0,0,1.0,inf,11965
