,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0.8636363636363636,1.845826690498331,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,8472
8,1.0,22,16,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,2164
9,1.0,33,12,0.0,0.0,1.0,0.0,0,0.015873015873015872,-4.127134385045092,12418
10,1.0,19,9,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,8173
11,1.0,21,13,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,17094
12,1.0,18,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
13,1.0,27,10,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,18739
14,1.0,17,7,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,3023
15,1.0,19,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,3228
16,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,14581
17,1.0,23,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,7693
18,1.0,40,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,10804
19,1.0,26,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,10747
20,1.0,23,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0,0.3333333333333333,-0.6931471805599454,5149
22,1.0,38,9,0.0,0.0,0.0,1.0,0,0.8636363636363636,1.845826690498331,6408
23,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,1991
24,1.0,18,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,11163
25,1.0,29,11,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,9642
26,1.0,25,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,9897
27,1.0,27,10,0.0,1.0,0.0,1.0,0,0.8636363636363636,1.845826690498331,11142
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,16218
29,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,995
30,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
31,1.0,48,4,1.0,0.0,0.0,1.0,0,0.0,-inf,6551
32,1.0,25,11,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,1574
33,1.0,20,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,0
34,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,3191
35,1.0,42,14,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,20505
36,1.0,25,5,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,6181
37,1.0,23,12,1.0,0.0,1.0,0.0,0,0.9968051118210862,5.743003187809469,5911
38,1.0,46,8,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,3094
39,1.0,24,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
40,1.0,21,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,1254
41,1.0,19,9,0.0,0.0,0.0,1.0,0,0.8636363636363636,1.845826690498331,13188
42,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,8061
43,1.0,18,8,0.0,1.0,1.0,1.0,0,0.5,0.0,2787
44,1.0,20,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,3972
45,1.0,25,11,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,0
46,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
47,1.0,17,9,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
48,1.0,25,5,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,12187
49,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,4843
50,1.0,28,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
51,1.0,31,11,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,8087
52,1.0,18,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
53,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9968051118210862,5.743003187809469,2348
54,1.0,30,11,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,590
55,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
56,1.0,37,9,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,1067
57,1.0,41,4,1.0,0.0,1.0,1.0,0,0.9968051118210862,5.743003187809469,7284
58,1.0,42,14,1.0,0.0,1.0,0.0,0,0.9968051118210862,5.743003187809469,13167
59,1.0,22,11,0.0,0.0,0.0,1.0,0,0.8636363636363636,1.845826690498331,1048
60,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,0
61,1.0,29,8,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,1923
62,1.0,35,10,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,4666
63,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,549
64,1.0,29,4,1.0,0.0,0.0,1.0,0,0.9968051118210862,5.743003187809469,762
