,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,1.0,inf,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0.0,-inf,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
12,1.0,27,10,1.0,0.0,1.0,1.0,0,1.0,inf,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,1991
22,1.0,33,11,1.0,0.0,0.0,1.0,7867,0.9712460063897763,3.519803124070001,6281
23,1.0,18,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,11163
24,1.0,29,11,1.0,0.0,1.0,1.0,0,1.0,inf,9642
25,1.0,25,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,9897
26,1.0,27,10,0.0,1.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,11142
27,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,16218
28,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,995
29,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
30,1.0,26,11,1.0,0.0,1.0,1.0,2754,1.0,inf,26372
31,1.0,25,11,1.0,0.0,1.0,1.0,0,1.0,inf,1574
32,1.0,20,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,0
33,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,3191
34,1.0,42,14,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,20505
35,1.0,23,12,1.0,0.0,1.0,0.0,0,0.2,-1.3862943611198906,5911
36,1.0,46,8,1.0,0.0,1.0,1.0,0,1.0,inf,3094
37,1.0,24,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
38,1.0,21,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,1254
39,1.0,19,9,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,13188
40,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,8061
41,1.0,18,8,0.0,1.0,1.0,1.0,0,0.0,-inf,2787
42,1.0,20,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,3972
43,1.0,25,11,1.0,0.0,1.0,1.0,0,1.0,inf,0
44,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
45,1.0,17,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
46,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,4843
47,1.0,28,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
48,1.0,31,11,1.0,0.0,1.0,1.0,0,1.0,inf,8087
49,1.0,18,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
50,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,2348
51,1.0,30,11,1.0,0.0,1.0,1.0,0,1.0,inf,590
52,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
53,1.0,37,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,1067
54,1.0,42,14,1.0,0.0,1.0,0.0,0,0.2,-1.3862943611198906,13167
55,1.0,22,11,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,1048
56,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
57,1.0,29,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,1923
58,1.0,28,10,1.0,0.0,0.0,1.0,2836,0.9712460063897763,3.519803124070001,3196
59,1.0,35,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,4666
60,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,549
61,1.0,28,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,10694
62,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
63,1.0,29,13,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,7479
64,1.0,27,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
65,1.0,46,13,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,647
66,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,11965
67,1.0,28,15,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,9598
68,1.0,31,9,1.0,0.0,0.0,1.0,1698,0.9990740740740741,6.983789965258178,10363
69,1.0,25,11,0.0,0.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,18783
70,1.0,22,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,18678
71,1.0,21,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
72,1.0,40,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,23005
73,1.0,22,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,6456
74,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,0
75,1.0,27,9,1.0,0.0,1.0,1.0,934,1.0,inf,1773
76,1.0,23,10,1.0,0.0,1.0,1.0,936,1.0,inf,11233
77,1.0,29,10,1.0,0.0,0.0,1.0,4398,0.9712460063897763,3.519803124070001,0
78,1.0,18,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,2321
79,1.0,38,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,4941
80,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,0
81,1.0,27,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
82,1.0,38,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
83,1.0,23,8,0.0,1.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,3881
84,1.0,26,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,17230
85,1.0,42,9,1.0,0.0,1.0,1.0,3058,1.0,inf,1294
86,1.0,21,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,8048
87,1.0,25,8,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
88,1.0,31,11,1.0,0.0,1.0,1.0,0,1.0,inf,14509
89,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
90,1.0,19,8,1.0,0.0,0.0,1.0,2657,0.9990740740740741,6.983789965258178,9970
91,1.0,29,14,1.0,0.0,0.0,0.0,679,0.9990740740740741,6.983789965258178,17814
92,1.0,25,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
93,1.0,21,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,9983
94,1.0,44,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
95,1.0,19,10,1.0,0.0,0.0,1.0,385,0.9990740740740741,6.983789965258178,8124
96,1.0,25,12,0.0,0.0,0.0,0.0,0,0.9146341463414634,2.3715779644809976,5587
97,1.0,18,10,1.0,0.0,0.0,1.0,798,0.9990740740740741,6.983789965258178,9737
98,1.0,18,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,4482
99,1.0,19,9,1.0,0.0,0.0,1.0,798,0.9990740740740741,6.983789965258178,17685
100,1.0,18,9,1.0,0.0,0.0,1.0,3287,0.9712460063897763,3.519803124070001,5010
101,1.0,26,11,1.0,0.0,1.0,1.0,1392,1.0,inf,1460
102,1.0,42,12,1.0,0.0,0.0,0.0,0,0.9990740740740741,6.983789965258178,2456
103,1.0,25,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
104,1.0,31,9,0.0,1.0,0.0,1.0,0,0.9146341463414634,2.3715779644809976,26817
105,1.0,24,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
106,1.0,26,10,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,9265
107,1.0,20,12,1.0,0.0,0.0,0.0,377,0.9990740740740741,6.983789965258178,1652
108,1.0,19,10,0.0,0.0,0.0,1.0,5324,0.9146341463414634,2.3715779644809976,13829
109,1.0,25,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,485
110,1.0,23,8,0.0,0.0,1.0,1.0,1713,1.0,inf,4232
111,1.0,31,12,0.0,0.0,0.0,0.0,2611,0.9146341463414634,2.3715779644809976,2484
112,1.0,18,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,4814
113,1.0,19,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,7458
114,1.0,43,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
115,1.0,26,11,0.0,0.0,0.0,1.0,2226,0.9146341463414634,2.3715779644809976,13385
116,1.0,29,10,0.0,1.0,0.0,1.0,8853,0.9146341463414634,2.3715779644809976,5112
117,1.0,17,9,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,1953
118,1.0,30,11,1.0,0.0,0.0,1.0,0,0.9990740740740741,6.983789965258178,0
119,1.0,17,10,1.0,0.0,0.0,1.0,156,0.9990740740740741,6.983789965258178,10641
120,1.0,20,12,0.0,0.0,1.0,0.0,8644,0.045454545454545456,-3.044522437723423,11656
121,1.0,17,9,1.0,0.0,0.0,1.0,375,0.9990740740740741,6.983789965258178,3621
122,1.0,18,12,1.0,0.0,0.0,0.0,562,0.9990740740740741,6.983789965258178,0
123,1.0,21,11,0.0,1.0,0.0,1.0,1395,0.9146341463414634,2.3715779644809976,0
124,1.0,30,11,1.0,0.0,0.0,1.0,1913,0.9990740740740741,6.983789965258178,0
125,1.0,18,11,0.0,1.0,0.0,1.0,5491,0.9146341463414634,2.3715779644809976,2454
126,1.0,20,12,1.0,0.0,0.0,0.0,9227,0.6470588235294118,0.6061358035703157,0
127,1.0,20,10,1.0,0.0,0.0,1.0,11073,0.6470588235294118,0.6061358035703157,0
128,1.0,17,9,0.0,0.0,0.0,1.0,1618,0.9146341463414634,2.3715779644809976,6011
129,1.0,18,10,0.0,1.0,0.0,1.0,2589,0.9146341463414634,2.3715779644809976,0
130,1.0,19,9,0.0,1.0,0.0,1.0,6511,0.9146341463414634,2.3715779644809976,7913
131,1.0,19,11,1.0,0.0,0.0,1.0,192,0.9990740740740741,6.983789965258178,661
132,1.0,27,10,0.0,1.0,0.0,1.0,421,0.9146341463414634,2.3715779644809976,3075
133,1.0,18,12,0.0,1.0,0.0,0.0,535,0.9146341463414634,2.3715779644809976,1115
134,1.0,22,11,1.0,0.0,0.0,1.0,606,0.9990740740740741,6.983789965258178,317
135,1.0,20,9,1.0,0.0,0.0,1.0,660,0.9990740740740741,6.983789965258178,12229
136,1.0,20,11,1.0,0.0,0.0,1.0,696,0.9990740740740741,6.983789965258178,0
137,1.0,18,10,1.0,0.0,0.0,1.0,699,0.9990740740740741,6.983789965258178,480
138,1.0,17,10,1.0,0.0,0.0,1.0,856,0.9990740740740741,6.983789965258178,3251
139,1.0,26,12,1.0,0.0,0.0,0.0,1088,0.9990740740740741,6.983789965258178,11460
140,1.0,22,10,1.0,0.0,0.0,1.0,1071,0.9990740740740741,6.983789965258178,7315
141,1.0,20,12,1.0,0.0,0.0,0.0,1160,0.9990740740740741,6.983789965258178,702
142,1.0,18,8,1.0,0.0,0.0,1.0,1199,0.9990740740740741,6.983789965258178,0
143,1.0,18,9,1.0,0.0,0.0,1.0,1285,0.9990740740740741,6.983789965258178,15369
144,1.0,18,10,1.0,0.0,0.0,1.0,1371,0.9990740740740741,6.983789965258178,12064
145,1.0,19,10,1.0,0.0,0.0,1.0,1374,0.9990740740740741,6.983789965258178,13278
146,1.0,18,9,0.0,1.0,0.0,1.0,1713,0.9146341463414634,2.3715779644809976,8836
147,1.0,17,10,0.0,1.0,0.0,1.0,2202,0.9146341463414634,2.3715779644809976,4387
148,1.0,19,11,1.0,0.0,0.0,1.0,1927,0.9990740740740741,6.983789965258178,11965
149,1.0,27,11,1.0,0.0,1.0,1.0,2142,1.0,inf,2186
150,1.0,19,10,1.0,0.0,0.0,1.0,3213,0.9712460063897763,3.519803124070001,2975
151,1.0,19,9,0.0,1.0,0.0,1.0,3276,0.9146341463414634,2.3715779644809976,14271
152,1.0,27,10,1.0,0.0,0.0,1.0,3213,0.9712460063897763,3.519803124070001,2094
153,1.0,21,11,1.0,0.0,1.0,1.0,4167,1.0,inf,11300
154,1.0,29,10,1.0,0.0,1.0,1.0,4923,0.35294117647058826,-0.6061358035703154,130
155,1.0,34,11,0.0,1.0,0.0,1.0,4641,0.9146341463414634,2.3715779644809976,2877
156,1.0,25,10,0.0,0.0,0.0,1.0,4712,0.9146341463414634,2.3715779644809976,6103
157,1.0,31,13,0.0,0.0,0.0,0.0,5498,0.9146341463414634,2.3715779644809976,2329
158,1.0,41,9,1.0,0.0,1.0,1.0,5783,0.35294117647058826,-0.6061358035703154,0
159,1.0,21,11,0.0,1.0,0.0,1.0,6658,0.9146341463414634,2.3715779644809976,9381
160,1.0,20,11,1.0,0.0,0.0,1.0,6426,0.9712460063897763,3.519803124070001,16451
161,1.0,24,12,0.0,1.0,1.0,0.0,7212,0.045454545454545456,-3.044522437723423,6485
162,1.0,41,9,1.0,0.0,1.0,1.0,7212,0.35294117647058826,-0.6061358035703154,3154
163,1.0,21,12,0.0,0.0,0.0,0.0,7390,0.9146341463414634,2.3715779644809976,3557
164,1.0,22,11,1.0,0.0,0.0,1.0,7497,0.9712460063897763,3.519803124070001,668
165,1.0,20,9,0.0,1.0,0.0,1.0,8015,0.9146341463414634,2.3715779644809976,5487
166,1.0,17,11,1.0,0.0,0.0,1.0,8497,0.9712460063897763,3.519803124070001,9017
167,1.0,24,11,1.0,0.0,0.0,1.0,9180,0.6470588235294118,0.6061358035703157,0
168,1.0,23,12,1.0,0.0,1.0,0.0,15079,0.0016666666666666668,-6.395261598115449,10283
169,1.0,23,10,1.0,0.0,0.0,1.0,15709,0.0,-inf,5665
170,1.0,26,11,0.0,0.0,0.0,1.0,22959,0.0,-inf,2746
171,1.0,18,10,1.0,0.0,1.0,1.0,1958,1.0,inf,10989
172,1.0,22,10,1.0,0.0,0.0,1.0,653,0.9990740740740741,6.983789965258178,11134
173,1.0,17,10,1.0,0.0,0.0,1.0,1000,0.9990740740740741,6.983789965258178,1433
174,1.0,17,9,1.0,0.0,0.0,1.0,1667,0.9990740740740741,6.983789965258178,5594
175,1.0,23,11,1.0,0.0,0.0,1.0,1961,0.9990740740740741,6.983789965258178,3689
176,1.0,32,10,1.0,0.0,0.0,1.0,2321,0.9990740740740741,6.983789965258178,179
177,1.0,19,12,1.0,0.0,0.0,0.0,2534,0.9990740740740741,6.983789965258178,4551
178,1.0,30,10,1.0,0.0,0.0,1.0,2615,0.9990740740740741,6.983789965258178,0
179,1.0,25,12,1.0,0.0,0.0,0.0,2746,0.9712460063897763,3.519803124070001,2090
180,1.0,26,11,0.0,0.0,0.0,1.0,4676,0.9146341463414634,2.3715779644809976,1973
181,1.0,19,10,1.0,0.0,0.0,1.0,3473,0.9712460063897763,3.519803124070001,5861
182,1.0,19,8,0.0,0.0,0.0,1.0,3416,0.9146341463414634,2.3715779644809976,9251
183,1.0,20,10,1.0,0.0,0.0,1.0,5100,0.9712460063897763,3.519803124070001,13626
184,1.0,21,11,1.0,0.0,0.0,1.0,5310,0.9712460063897763,3.519803124070001,7906
185,1.0,23,12,1.0,0.0,0.0,0.0,7841,0.9712460063897763,3.519803124070001,7947
186,1.0,19,11,1.0,0.0,0.0,1.0,6409,0.9712460063897763,3.519803124070001,11648
187,1.0,22,11,1.0,0.0,0.0,1.0,8774,0.9712460063897763,3.519803124070001,18295
188,1.0,23,12,1.0,0.0,0.0,0.0,7782,0.9712460063897763,3.519803124070001,14416
189,1.0,26,10,1.0,0.0,1.0,1.0,8141,0.35294117647058826,-0.6061358035703154,4635
190,1.0,24,12,1.0,0.0,0.0,0.0,12982,0.6470588235294118,0.6061358035703157,0
191,1.0,18,10,0.0,1.0,0.0,1.0,12625,0.0,-inf,0
192,1.0,27,11,1.0,0.0,0.0,1.0,14223,0.0,-inf,7661
193,1.0,21,11,0.0,1.0,0.0,1.0,17983,0.0,-inf,15191
194,1.0,25,8,0.0,0.0,0.0,1.0,23096,0.0,-inf,6421
195,1.0,21,12,1.0,0.0,0.0,0.0,807,0.9990740740740741,6.983789965258178,4350
196,1.0,19,11,1.0,0.0,0.0,1.0,532,0.9990740740740741,6.983789965258178,0
197,1.0,18,11,1.0,0.0,0.0,1.0,851,0.9990740740740741,6.983789965258178,0
198,1.0,21,11,0.0,0.0,0.0,1.0,946,0.9146341463414634,2.3715779644809976,11412
199,1.0,25,9,1.0,0.0,0.0,1.0,1536,0.9990740740740741,6.983789965258178,1709
200,1.0,17,9,1.0,0.0,0.0,1.0,1341,0.9990740740740741,6.983789965258178,1374
201,1.0,28,8,1.0,0.0,0.0,1.0,1182,0.9990740740740741,6.983789965258178,7779
202,1.0,18,9,1.0,0.0,0.0,1.0,1182,0.9990740740740741,6.983789965258178,5100
203,1.0,27,12,1.0,0.0,0.0,0.0,4310,0.9712460063897763,3.519803124070001,0
204,1.0,23,9,1.0,0.0,0.0,1.0,1774,0.9990740740740741,6.983789965258178,11464
205,1.0,19,8,0.0,1.0,0.0,1.0,1862,0.9146341463414634,2.3715779644809976,8774
206,1.0,21,11,1.0,0.0,0.0,1.0,2158,0.9990740740740741,6.983789965258178,0
207,1.0,21,11,1.0,0.0,0.0,1.0,2217,0.9990740740740741,6.983789965258178,4082
208,1.0,23,10,1.0,0.0,0.0,1.0,2217,0.9990740740740741,6.983789965258178,0
209,1.0,27,9,1.0,0.0,0.0,1.0,2294,0.9990740740740741,6.983789965258178,2018
210,1.0,27,11,1.0,0.0,0.0,1.0,2483,0.9990740740740741,6.983789965258178,0
211,1.0,23,12,0.0,0.0,0.0,0.0,3903,0.9146341463414634,2.3715779644809976,796
212,1.0,27,8,1.0,0.0,0.0,1.0,7218,0.9712460063897763,3.519803124070001,7976
213,1.0,28,11,1.0,0.0,1.0,1.0,6952,0.35294117647058826,-0.6061358035703154,7318
214,1.0,25,12,1.0,0.0,0.0,0.0,5204,0.9712460063897763,3.519803124070001,0
215,1.0,20,12,1.0,0.0,0.0,0.0,6085,0.9712460063897763,3.519803124070001,9750
216,1.0,26,12,1.0,0.0,0.0,0.0,6608,0.9712460063897763,3.519803124070001,5811
217,1.0,23,10,1.0,0.0,1.0,1.0,10495,0.0016666666666666668,-6.395261598115449,3385
218,1.0,49,8,0.0,0.0,1.0,1.0,7285,0.045454545454545456,-3.044522437723423,16717
219,1.0,19,11,1.0,0.0,0.0,1.0,10224,0.6470588235294118,0.6061358035703157,11293
220,1.0,21,13,0.0,0.0,0.0,0.0,8616,0.9146341463414634,2.3715779644809976,99
221,1.0,27,12,1.0,0.0,1.0,0.0,7806,0.2,-1.3862943611198906,2777
222,1.0,23,11,1.0,0.0,0.0,1.0,8959,0.6470588235294118,0.6061358035703157,1659
223,1.0,22,11,1.0,0.0,0.0,1.0,12170,0.6470588235294118,0.6061358035703157,8408
224,1.0,24,15,1.0,0.0,0.0,0.0,13008,0.6470588235294118,0.6061358035703157,14683
225,1.0,24,12,1.0,0.0,0.0,0.0,18154,0.0,-inf,0
226,1.0,18,11,1.0,0.0,0.0,1.0,214,0.9990740740740741,6.983789965258178,929
227,1.0,17,10,1.0,0.0,0.0,1.0,5793,0.9712460063897763,3.519803124070001,5522
228,1.0,17,9,1.0,0.0,0.0,1.0,1253,0.9990740740740741,6.983789965258178,5445
229,1.0,28,11,1.0,0.0,0.0,1.0,6871,0.9712460063897763,3.519803124070001,0
230,1.0,27,11,1.0,0.0,0.0,1.0,2666,0.9990740740740741,6.983789965258178,0
231,1.0,19,11,1.0,0.0,0.0,1.0,2615,0.9990740740740741,6.983789965258178,4146
232,1.0,18,11,0.0,0.0,0.0,1.0,919,0.9146341463414634,2.3715779644809976,4321
233,1.0,24,10,1.0,0.0,0.0,1.0,2421,0.9990740740740741,6.983789965258178,1660
234,1.0,23,12,1.0,0.0,0.0,0.0,3039,0.9712460063897763,3.519803124070001,8484
235,1.0,21,9,1.0,0.0,0.0,1.0,5749,0.9712460063897763,3.519803124070001,743
236,1.0,21,12,1.0,0.0,0.0,0.0,3332,0.9712460063897763,3.519803124070001,9371
237,1.0,24,9,1.0,0.0,0.0,1.0,2288,0.9990740740740741,6.983789965258178,4849
238,1.0,20,9,0.0,1.0,0.0,1.0,5875,0.9146341463414634,2.3715779644809976,1358
239,1.0,25,13,1.0,0.0,0.0,0.0,3090,0.9712460063897763,3.519803124070001,0
240,1.0,35,8,1.0,0.0,1.0,1.0,17976,0.0016666666666666668,-6.395261598115449,3786
241,1.0,17,9,0.0,1.0,0.0,1.0,74,0.9146341463414634,2.3715779644809976,6210
242,1.0,24,11,1.0,0.0,1.0,1.0,1666,1.0,inf,4032
243,1.0,20,12,1.0,0.0,0.0,0.0,165,0.9990740740740741,6.983789965258178,0
244,1.0,21,8,1.0,0.0,0.0,1.0,3695,0.9712460063897763,3.519803124070001,4279
245,1.0,18,10,1.0,0.0,0.0,1.0,1784,0.9990740740740741,6.983789965258178,11141
246,1.0,27,12,1.0,0.0,0.0,0.0,357,0.9990740740740741,6.983789965258178,22163
247,1.0,22,9,1.0,0.0,0.0,1.0,3836,0.9712460063897763,3.519803124070001,3462
248,1.0,46,8,1.0,0.0,0.0,1.0,2594,0.9990740740740741,6.983789965258178,0
249,1.0,19,10,1.0,0.0,0.0,1.0,6056,0.9712460063897763,3.519803124070001,0
250,1.0,19,11,0.0,1.0,1.0,1.0,5463,0.045454545454545456,-3.044522437723423,6788
251,1.0,22,12,1.0,0.0,0.0,0.0,936,0.9990740740740741,6.983789965258178,0
252,1.0,22,12,0.0,0.0,0.0,0.0,8455,0.9146341463414634,2.3715779644809976,12590
253,1.0,26,12,1.0,0.0,1.0,0.0,5794,0.2,-1.3862943611198906,1424
254,1.0,29,12,1.0,0.0,0.0,0.0,4878,0.9712460063897763,3.519803124070001,10976
255,1.0,31,9,1.0,0.0,0.0,1.0,5517,0.9712460063897763,3.519803124070001,9558
256,1.0,29,12,1.0,0.0,0.0,0.0,1817,0.9990740740740741,6.983789965258178,0
257,1.0,35,9,1.0,0.0,1.0,1.0,13830,0.0016666666666666668,-6.395261598115449,12803
258,1.0,25,12,1.0,0.0,0.0,0.0,2409,0.9990740740740741,6.983789965258178,0
259,1.0,22,12,0.0,1.0,1.0,0.0,7055,0.045454545454545456,-3.044522437723423,10092
260,1.0,27,10,1.0,0.0,0.0,1.0,3550,0.9712460063897763,3.519803124070001,0
261,1.0,22,10,1.0,0.0,1.0,1.0,5588,0.35294117647058826,-0.6061358035703154,13228
262,1.0,19,8,1.0,0.0,0.0,1.0,2937,0.9712460063897763,3.519803124070001,7535
263,1.0,20,11,1.0,0.0,0.0,1.0,1220,0.9990740740740741,6.983789965258178,1085
264,1.0,21,12,0.0,0.0,0.0,0.0,334,0.9146341463414634,2.3715779644809976,12558
