treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,29,14,1.0,0.0,0.0,0.0,679,0.10689050501318088,-2.122904195245678,17814
1.0,20,9,1.0,0.0,0.0,1.0,1,0.47581705585781514,-0.09680730950958585,8881
1.0,20,12,1.0,0.0,0.0,0.0,377,0.26671818046201473,-1.0113375050502098,1652
1.0,41,14,0.0,0.0,0.0,0.0,1,0.03432016219199783,-3.3370993479539437,5149
1.0,17,8,1.0,0.0,0.0,1.0,1,0.4456162264822118,-0.21839907604451514,1
1.0,28,11,1.0,0.0,0.0,1.0,6871,0.1432884983872453,-1.7882411552272788,1
1.0,23,11,1.0,0.0,0.0,1.0,1,0.5699700994087478,0.28172915974623386,1
1.0,19,9,1.0,0.0,0.0,1.0,1,0.470232880856007,-0.11920944896924947,8173
1.0,23,8,0.0,1.0,0.0,1.0,1,0.20385033691476234,-1.3624011051002263,3881
1.0,29,13,1.0,0.0,0.0,0.0,1,0.24351096761797106,-1.1335260522201107,7479
1.0,20,12,1.0,0.0,0.0,0.0,1,0.2795577029068839,-0.9466566031633324,1
1.0,42,9,1.0,0.0,1.0,1.0,3058,0.21279172342644098,-1.3081789965843902,1294
1.0,20,9,0.0,1.0,0.0,1.0,5875,0.08973751411299745,-2.3168441047756354,1358
1.0,30,12,1.0,0.0,0.0,0.0,1,0.2257916578693472,-1.232228306991737,24909
1.0,20,12,1.0,0.0,0.0,0.0,165,0.25700258092481454,-1.0616064437040706,1
1.0,26,11,0.0,0.0,0.0,1.0,2226,0.0861142116156352,-2.3620311484143492,13385
1.0,17,10,1.0,0.0,0.0,1.0,1,0.4461314176243558,-0.21631387571130337,16218
1.0,18,9,1.0,0.0,0.0,1.0,3287,0.23130833687214794,-1.2009383187454847,5010
1.0,17,9,1.0,0.0,0.0,1.0,1253,0.17526867257923465,-1.548737601082491,5445
1.0,18,10,1.0,0.0,0.0,1.0,1,0.46591021728852494,-0.1365710084458176,11163
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.46606208199552435,-0.135960725364487,1460
1.0,17,9,1.0,0.0,0.0,1.0,1,0.43383405256500357,-0.2662251349608407,1953
1.0,18,8,1.0,0.0,0.0,1.0,1,0.46355215903904645,-0.14605042473503704,1
1.0,23,12,1.0,0.0,0.0,0.0,1,0.2986716503707753,-0.8536313684453678,1
1.0,24,11,1.0,0.0,0.0,1.0,1,0.5814676442150167,0.32880112783138293,995
1.0,21,8,1.0,0.0,0.0,1.0,3695,0.22672484056338846,-1.22689782217872,4279
1.0,17,8,1.0,0.0,0.0,1.0,1,0.4456162264822118,-0.21839907604451514,8061
1.0,22,12,1.0,0.0,0.0,0.0,1,0.2940682335866358,-0.8757067572427721,18678
1.0,18,11,0.0,0.0,0.0,1.0,919,0.004059355544363488,-5.502663433789925,4321
1.0,21,13,1.0,0.0,0.0,0.0,1,0.2656206389767413,-1.0169566141555517,17094
1.0,18,10,1.0,0.0,0.0,1.0,1784,0.24532712035607582,-1.1236918782602587,11141
1.0,17,10,1.0,0.0,0.0,1.0,5793,0.24687468950509825,-1.1153507510005956,5522
1.0,25,11,0.0,0.0,0.0,1.0,1,0.09958660116583913,-2.2018263608079396,18783
1.0,23,12,1.0,0.0,0.0,0.0,1,0.2986716503707753,-0.8536313684453678,4843
1.0,17,10,1.0,0.0,0.0,1.0,1,0.4461314176243558,-0.21631387571130337,1
1.0,20,11,1.0,0.0,0.0,1.0,1220,0.30439482015056984,-0.8264566197898466,1085
1.0,31,9,1.0,0.0,0.0,1.0,1698,0.2955978511885733,-0.8683495074469318,10363
1.0,31,11,1.0,0.0,1.0,1.0,1,0.37210395346736314,-0.5232013617269857,14509
1.0,25,12,0.0,0.0,0.0,0.0,1,0.03250539296774993,-3.3933038377227067,5587
1.0,18,8,0.0,1.0,1.0,1.0,1,0.031098553025867955,-3.4390016092059468,2787
1.0,19,11,1.0,0.0,0.0,1.0,1,0.5135304437968243,0.05413499196936315,7458
1.0,27,13,0.0,0.0,1.0,0.0,853,0.055475512804345366,-2.8347399000415745,1
1.0,19,8,1.0,0.0,0.0,1.0,2937,0.25786179955113514,-1.0571116990487932,7535
1.0,18,11,1.0,0.0,0.0,1.0,1,0.491113260963532,-0.03555069990876358,1
1.0,27,9,1.0,0.0,0.0,1.0,1,0.58144023793758,0.32868851406739213,1
1.0,23,12,1.0,0.0,1.0,0.0,1,0.17018621068896686,-1.5843081308142706,5911
1.0,23,8,0.0,0.0,1.0,1.0,1713,0.11317427008349878,-2.058719647809764,4232
1.0,33,12,1.0,0.0,1.0,0.0,10941,0.0007210830446409248,-7.234034904354837,15952
1.0,28,10,1.0,0.0,0.0,1.0,2836,0.33355639616645066,-0.6921435656285553,3196
1.0,22,12,0.0,0.0,0.0,0.0,8455,0.0010538271456902143,-6.85427245789662,12590
1.0,22,11,0.0,0.0,0.0,1.0,1,0.05200729323104328,-2.9029628457539047,1048
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.2201821680054905,-1.2646051035739458,1
1.0,30,11,1.0,0.0,1.0,1.0,1,0.442907198733136,-0.2293715707182466,590
1.0,17,10,1.0,0.0,0.0,1.0,1,0.4461314176243558,-0.21631387571130337,1
1.0,21,12,0.0,0.0,0.0,0.0,1,0.018593865432583078,-3.966154663603621,8048
1.0,46,8,1.0,0.0,1.0,1.0,1,0.151669037120134,-1.721570086540683,3094
1.0,31,11,1.0,0.0,1.0,1.0,1,0.37210395346736314,-0.5232013617269857,8087
1.0,17,9,1.0,0.0,0.0,1.0,1,0.43383405256500357,-0.2662251349608407,1
1.0,18,12,1.0,0.0,0.0,0.0,1,0.2806164096095429,-0.9414060744769589,2321
1.0,25,12,1.0,0.0,0.0,0.0,2409,0.27895064540217496,-0.9496727199481598,1
