treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
1.0,18,11,1.0,0.0,0.0,1.0,858,214,0.996791973083392,5.7388860148826435,929
1.0,29,14,1.0,0.0,0.0,0.0,0,679,0.9735817843665527,3.606928073595585,17814
1.0,25,8,1.0,0.0,0.0,1.0,0,0,0.9995886785919808,7.795724228412923,0
1.0,35,10,1.0,0.0,0.0,1.0,0,0,0.9996267422024956,7.892867903451986,4666
1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.9867458802197416,4.310104108517443,1574
1.0,20,12,1.0,0.0,0.0,0.0,0,377,0.9987560202287915,6.68819479172746,1652
1.0,21,12,1.0,0.0,0.0,0.0,0,0,0.998681184657185,6.6297017271682845,9983
1.0,27,12,1.0,0.0,0.0,0.0,2143,357,0.9673700998068092,3.3893521002673976,22163
1.0,18,10,1.0,0.0,0.0,1.0,0,798,0.9994261852662188,7.462629997763048,9737
1.0,41,14,0.0,0.0,0.0,0.0,0,0,0.8767483518899623,1.9619918243008316,5149
1.0,17,8,1.0,0.0,0.0,1.0,0,0,0.9995403160630603,7.684511608623406,0
1.0,23,10,1.0,0.0,0.0,1.0,0,0,0.9995483205934048,7.702086125788109,7693
1.0,40,11,1.0,0.0,0.0,1.0,0,0,0.9983743406857039,6.420214831480577,23005
1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.9991513335249095,7.070995266456498,9897
1.0,25,12,1.0,0.0,0.0,0.0,0,0,0.9992679503759527,7.2189299361832475,3191
1.0,19,11,1.0,0.0,0.0,1.0,2305,2615,0.9345401134134037,2.6586170144641983,4146
1.0,37,9,1.0,0.0,0.0,1.0,0,0,0.9995803252224531,7.775610722950696,1067
1.0,28,11,1.0,0.0,0.0,1.0,1929,6871,0.5818846137876932,0.33051473197710424,0
1.0,40,12,1.0,0.0,0.0,0.0,0,0,0.9991522799457256,7.0721120217798665,10804
1.0,26,11,1.0,0.0,0.0,1.0,0,0,0.9991536011207915,7.073673063770739,17230
1.0,27,10,1.0,0.0,1.0,1.0,0,0,0.9529770846688834,3.0089558147692785,18739
1.0,23,8,0.0,1.0,0.0,1.0,0,0,0.9939150305350768,5.095830012306631,3881
1.0,42,9,1.0,0.0,1.0,1.0,0,3058,0.9610774968912644,3.206482478193727,1294
1.0,24,10,1.0,0.0,1.0,1.0,11703,4078,0.6142367369080798,0.46515654557043823,0
1.0,20,9,0.0,1.0,0.0,1.0,12260,5875,0.748292765604272,1.0895276554003792,1358
1.0,31,12,0.0,0.0,0.0,0.0,0,2611,0.9119888384529634,2.338164109264012,2484
1.0,17,9,1.0,0.0,0.0,1.0,1716,1253,0.9583429652288107,3.1357354587665007,5445
1.0,26,10,1.0,0.0,1.0,1.0,2027,0,0.7094706262696877,0.8928144095662577,0
1.0,18,11,0.0,0.0,0.0,1.0,3678,919,0.617762709566953,0.48006282372342624,4321
