treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
1.0,26,11,1.0,0.0,1.0,1.0,2754,0.39083212304530907,-0.4438157747850227,26372
1.0,20,12,1.0,0.0,0.0,0.0,9227,0.28477700382174204,-0.920887945565643,0
1.0,21,13,0.0,0.0,0.0,0.0,8616,0.22523604682491674,-1.2354094571258396,99
1.0,31,9,1.0,0.0,0.0,1.0,5517,0.4883126235782655,-0.046758022796408984,9558
1.0,21,12,1.0,0.0,0.0,0.0,3332,0.546197407070431,0.18531817566686187,9371
1.0,20,12,1.0,0.0,0.0,0.0,6085,0.4822588337792347,-0.07099446880785862,9750
1.0,29,12,1.0,0.0,0.0,0.0,1817,0.5960163051655186,0.3888935065253018,0
1.0,38,12,0.0,0.0,0.0,0.0,0,0.2865312707666288,-0.9122909309470193,4941
1.0,23,10,1.0,0.0,0.0,1.0,2217,0.7663571244729784,1.187854504424437,0
1.0,27,11,1.0,0.0,0.0,1.0,2666,0.7542300587267373,1.1213015388581,0
1.0,26,11,1.0,0.0,1.0,1.0,1392,0.39895035016433394,-0.40984056969365784,1460
1.0,26,10,1.0,0.0,0.0,1.0,6788,0.5230588524116461,0.09230088328736902,672
1.0,43,9,1.0,0.0,0.0,1.0,0,0.6435237119807568,0.5906911504399981,0
1.0,21,11,0.0,1.0,0.0,1.0,17983,0.4031176164234667,-0.39249171001495053,15191
1.0,27,11,1.0,0.0,0.0,1.0,0,0.7547941379420258,1.1243469360643208,549
1.0,17,9,0.0,1.0,0.0,1.0,74,0.8227766869290503,1.5352742304296483,6210
1.0,22,11,1.0,0.0,0.0,1.0,0,0.7597199600580606,1.151144815556723,6456
1.0,19,10,1.0,0.0,0.0,1.0,3473,0.6806884637994072,0.756937504026874,5861
1.0,20,9,0.0,1.0,0.0,1.0,8015,0.5361584523167354,0.14488673553509718,5487
1.0,27,8,1.0,0.0,0.0,1.0,7218,0.45704920779557345,-0.172227632937144,7976
1.0,26,11,1.0,0.0,0.0,1.0,0,0.7571552180624742,1.1371457943051806,17230
1.0,20,11,1.0,0.0,0.0,1.0,0,0.7831077871082279,1.2838698303063618,3972
1.0,30,11,1.0,0.0,0.0,1.0,0,0.7264289564886407,0.9765793444719018,0
1.0,33,11,1.0,0.0,0.0,1.0,7867,0.37819391488657284,-0.49722121743974185,6281
1.0,34,11,0.0,1.0,0.0,1.0,4641,0.42743257831941434,-0.2923339312165418,2877
1.0,29,11,1.0,0.0,1.0,1.0,0,0.3586452727056289,-0.581248898883946,9642
1.0,24,11,1.0,0.0,0.0,1.0,9180,0.380918432715081,-0.4856517718321381,0
1.0,24,12,1.0,0.0,0.0,0.0,18154,0.18457923360365455,-1.4856254360828134,0
1.0,27,9,1.0,0.0,1.0,1.0,934,0.3915718801188,-0.4407096783000428,1773
1.0,24,10,1.0,0.0,0.0,1.0,2421,0.7662549976234396,1.187284221680078,1660
1.0,23,12,1.0,0.0,0.0,0.0,0,0.6239878318223276,0.5065093628536521,0
1.0,31,9,1.0,0.0,0.0,1.0,1698,0.7063017853886816,0.87748984498423,10363
1.0,23,12,1.0,0.0,0.0,0.0,0,0.6239878318223276,0.5065093628536521,4843
1.0,32,10,1.0,0.0,0.0,1.0,2321,0.6853093418142245,0.7782802114083692,179
1.0,25,12,1.0,0.0,0.0,0.0,0,0.6227869940814926,0.5013945264335082,11965
1.0,28,11,1.0,0.0,1.0,1.0,6952,0.18751891765624712,-1.466212896175963,7318
1.0,41,14,0.0,0.0,0.0,0.0,0,0.2185521300111238,-1.2741238752017692,5149
1.0,25,12,1.0,0.0,0.0,0.0,2409,0.6092898258419258,0.4443280164388105,0
1.0,23,12,0.0,1.0,0.0,0.0,1117,0.39834649824113,-0.4123594759972098,559
1.0,27,10,1.0,0.0,0.0,1.0,3550,0.6213561995195472,0.49530858496757013,0
1.0,21,11,0.0,1.0,0.0,1.0,6658,0.5346915869414229,0.13898966804375457,9381
1.0,21,13,1.0,0.0,0.0,0.0,0,0.5975559584827695,0.3952918738777923,17094
1.0,22,12,0.0,1.0,1.0,0.0,7055,0.09029551418936291,-2.3100320234659626,10092
1.0,21,12,0.0,0.0,0.0,0.0,0,0.3267702999820854,-0.7228291014890433,8048
1.0,40,12,1.0,0.0,0.0,0.0,0,0.5815208361364114,0.3290197019932923,10804
1.0,27,11,1.0,0.0,0.0,1.0,14223,0.2955769573101377,-0.8684498548244111,7661
1.0,24,11,1.0,0.0,1.0,1.0,1666,0.400780167978559,-0.40221546169936095,4032
1.0,28,15,1.0,0.0,0.0,0.0,0,0.5144642099993686,0.0578729873387265,9598
1.0,29,10,1.0,0.0,1.0,1.0,4923,0.26888347831316606,-1.0002947278030372,130
1.0,27,12,1.0,0.0,0.0,0.0,4310,0.4759835355655908,-0.09613984001849331,0
1.0,29,10,1.0,0.0,0.0,1.0,4398,0.539824744168647,0.1596371311831884,0
1.0,22,10,1.0,0.0,1.0,1.0,5588,0.28499869211776874,-0.9197997807005924,13228
1.0,29,12,1.0,0.0,0.0,0.0,4878,0.4648552354830822,-0.14081126260081142,10976
1.0,25,8,0.0,0.0,0.0,1.0,23096,0.2047439755339344,-1.3569038073844328,6421
