,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0.8869478494623656,2.059936964856079,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0.9837615809255345,4.1040035895229865,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0.9701368582577835,3.48081215020881,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9915166044974164,4.7611249119648065,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0.9813003863614409,3.9603757543289735,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0.9957820651763428,5.464182793595272,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9820620803989301,4.002737639044736,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0.9810349364063653,3.94600954364002,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0.908231225222598,2.2922269037841656,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0.9961686842344736,5.560708318817279,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0.9784058750773038,3.8135033057621635,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0.9961674410192388,5.560382635651733,0
12,1.0,27,10,1.0,0.0,1.0,1.0,0,0.9814153375761537,3.9666591121151438,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0.9940960474007362,5.126211770466227,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9926261191744553,4.902409938462635,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0.9941765093645645,5.140014918210849,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0.966522403261492,3.362828017123122,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0.9816711235955722,3.980778585776069,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0.9923864967391516,4.870189229456754,0
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0.9074003650956243,2.2822985706563106,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0.9511700998117556,2.969350076701256,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9933345643720017,5.004132218096606,1991
22,1.0,33,11,1.0,0.0,0.0,1.0,7867,0.24951058181582253,-1.1012242249064723,6281
23,1.0,18,10,1.0,0.0,0.0,1.0,0,0.9945603466239715,5.2085854356230605,11163
24,1.0,29,11,1.0,0.0,1.0,1.0,0,0.9736169039766565,3.608294400939866,9642
25,1.0,25,11,1.0,0.0,0.0,1.0,0,0.9938760987635361,5.089413199382567,9897
26,1.0,27,10,0.0,1.0,0.0,1.0,0,0.9785071725659962,3.8183088452203693,11142
27,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9945912990049239,5.214322945795776,16218
28,1.0,24,11,1.0,0.0,0.0,1.0,0,0.9933345643720017,5.004132218096606,995
29,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9945912990049239,5.214322945795776,0
30,1.0,26,11,1.0,0.0,1.0,1.0,2754,0.9725931875040037,3.5691742797969908,26372
31,1.0,25,11,1.0,0.0,1.0,1.0,0,0.976260708871525,3.7165981415473235,1574
32,1.0,20,12,1.0,0.0,0.0,0.0,0,0.982826981035097,4.0470936061555385,0
33,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9862478779815369,4.272714579734123,3191
34,1.0,42,14,1.0,0.0,0.0,0.0,0,0.9725238095238096,3.56657472920906,20505
35,1.0,23,12,1.0,0.0,1.0,0.0,0,0.9177662368613401,2.412376752742004,5911
36,1.0,46,8,1.0,0.0,1.0,1.0,0,0.9144940698348156,2.3697852510169115,3094
37,1.0,24,10,1.0,0.0,0.0,1.0,0,0.9955828408697652,5.417831576647279,0
38,1.0,21,12,1.0,0.0,0.0,0.0,0,0.9805400546476881,3.919745227501067,1254
39,1.0,19,9,0.0,0.0,0.0,1.0,0,0.9380845615857932,2.7180705383406476,13188
40,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9969841076859054,5.800839085067814,8061
41,1.0,18,8,0.0,1.0,1.0,1.0,0,0.826,1.5575394743064488,2787
42,1.0,20,11,1.0,0.0,0.0,1.0,0,0.9941843476577934,5.141369687535954,3972
43,1.0,25,11,1.0,0.0,1.0,1.0,0,0.976260708871525,3.7165981415473235,0
44,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9969841076859054,5.800839085067814,0
45,1.0,17,9,1.0,0.0,0.0,1.0,0,0.9975409858217751,6.0055327073957026,0
46,1.0,23,12,1.0,0.0,0.0,0.0,0,0.9820620803989301,4.002737639044736,4843
47,1.0,28,8,1.0,0.0,0.0,1.0,0,0.987899958585009,4.402372560804811,0
48,1.0,31,11,1.0,0.0,1.0,1.0,0,0.9722208330884802,3.5552966251008007,8087
49,1.0,18,11,1.0,0.0,0.0,1.0,0,0.9848820029535382,4.176635948536127,0
50,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9862478779815369,4.272714579734123,2348
51,1.0,30,11,1.0,0.0,1.0,1.0,0,0.9643118617966142,3.2965963800174007,590
52,1.0,17,10,1.0,0.0,0.0,1.0,0,0.9945912990049239,5.214322945795776,0
53,1.0,37,9,1.0,0.0,0.0,1.0,0,0.9843294367674117,4.140176635393512,1067
54,1.0,42,14,1.0,0.0,1.0,0.0,0,0.8867904761904761,2.058368443337791,13167
55,1.0,22,11,0.0,0.0,0.0,1.0,0,0.9668101516655797,3.371758092944201,1048
56,1.0,17,8,1.0,0.0,0.0,1.0,0,0.9969841076859054,5.800839085067814,0
57,1.0,29,8,1.0,0.0,0.0,1.0,0,0.988899958585009,4.489644333004489,1923
58,1.0,28,10,1.0,0.0,0.0,1.0,2836,0.9895452285557286,4.550187000753125,3196
59,1.0,35,10,1.0,0.0,0.0,1.0,0,0.9772292967113894,3.7592465529648686,4666
60,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9915166044974164,4.7611249119648065,549
61,1.0,28,9,1.0,0.0,0.0,1.0,0,0.9930847010113777,4.967079756634146,10694
62,1.0,27,11,1.0,0.0,0.0,1.0,0,0.9915166044974164,4.7611249119648065,0
63,1.0,29,13,1.0,0.0,0.0,0.0,0,0.9912382184278588,4.728555627222084,7479
64,1.0,27,9,1.0,0.0,0.0,1.0,0,0.9935841426266728,5.042546111063537,0
65,1.0,46,13,1.0,0.0,0.0,0.0,0,0.934,2.6498216962024177,647
66,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9862478779815369,4.272714579734123,11965
67,1.0,28,15,1.0,0.0,0.0,0.0,0,0.9604122441809397,3.188842739347906,9598
68,1.0,31,9,1.0,0.0,0.0,1.0,1698,0.9887801837328647,4.4787905212970385,10363
69,1.0,25,11,0.0,0.0,0.0,1.0,0,0.9611722402594706,3.2090181751074014,18783
70,1.0,22,12,1.0,0.0,0.0,0.0,0,0.9768046509209799,3.740334896326845,18678
71,1.0,21,9,1.0,0.0,0.0,1.0,0,0.9951170819597918,5.3171174003294945,0
72,1.0,40,11,1.0,0.0,0.0,1.0,0,0.9852875005089294,4.2042360392783005,23005
73,1.0,22,11,1.0,0.0,0.0,1.0,0,0.9936792618251735,5.057578479213384,6456
74,1.0,25,12,1.0,0.0,0.0,0.0,0,0.9862478779815369,4.272714579734123,0
75,1.0,27,9,1.0,0.0,1.0,1.0,934,0.9510698412698413,2.9671935503488065,1773
76,1.0,23,10,1.0,0.0,1.0,1.0,936,0.9739646426828119,3.621919490822447,11233
77,1.0,29,10,1.0,0.0,0.0,1.0,4398,0.6674919568528005,0.696863290823354,0
78,1.0,18,12,1.0,0.0,0.0,0.0,0,0.9880230278076143,4.412720182762379,2321
79,1.0,38,12,0.0,0.0,0.0,0.0,0,0.945586749020004,2.85519792485874,4941
80,1.0,27,13,1.0,0.0,0.0,0.0,0,0.9926261191744553,4.902409938462635,0
81,1.0,27,8,1.0,0.0,0.0,1.0,0,0.992598676533727,4.898667598806926,0
82,1.0,38,11,1.0,0.0,0.0,1.0,0,0.9845182697396987,4.152491819449454,0
83,1.0,23,8,0.0,1.0,0.0,1.0,0,0.9767525974025975,3.7380399836094416,3881
84,1.0,26,11,1.0,0.0,0.0,1.0,0,0.9922790566046962,4.856067816751725,17230
85,1.0,42,9,1.0,0.0,1.0,1.0,3058,0.9098252787586588,2.311503444234894,1294
86,1.0,21,12,0.0,0.0,0.0,0.0,0,0.9548778995117516,3.0522113189117976,8048
87,1.0,25,8,1.0,0.0,0.0,1.0,0,0.9959450653867412,5.503757538358936,0
