,treat,age,education*,black,hispanic,married,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,1,0.33355154679924426,-0.6921653805659521,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,1,0.8582324473144335,1.8006862170009472,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,1,0.7519130910303027,1.1088416226632545,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,1,0.832639520312475,1.6044507527053697,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,1,0.7295542265290278,0.9923620885998947,289
5,1.0,22,9,1.0,0.0,0.0,1.0,1,0.8211013312229296,1.5238269766508443,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,1,0.7984382229851579,1.3765616782511663,1
7,1.0,32,11,1.0,0.0,0.0,1.0,1,0.7407175978048918,1.0497016194214444,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,1,0.0583545111317466,-2.7810921976198704,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,1,0.9064340367271017,2.2708515834575755,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,1,0.8058797781803406,1.4234569055663469,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,1,0.9262162229164602,2.5299688247328165,1
12,1.0,27,10,1.0,0.0,1.0,1.0,1,0.5016584756153548,0.006633926790677291,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,1,0.8848491950981423,2.0391746131975546,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,1,0.7950115686077222,1.3554031209430246,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,1,0.8158742429517235,1.4886412426836264,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,1,0.7668384890685752,1.1905448109246226,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,1,0.802122299256571,1.3996119222362937,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,1,0.8123464732148586,1.465329620416618,1
19,1.0,41,14,0.0,0.0,0.0,0.0,1,0.31244806350157645,-0.7886991121158461,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,1,0.6053094301057361,0.42763769145039565,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,1,0.8273085502073113,1.5666712463078607,1991
22,1.0,18,10,1.0,0.0,0.0,1.0,1,0.9171171202676218,2.403806661508179,11163
23,1.0,29,11,1.0,0.0,1.0,1.0,1,0.5718280298594659,0.28931338480175506,9642
24,1.0,25,11,1.0,0.0,0.0,1.0,1,0.8287371216358826,1.5767033254340896,9897
25,1.0,27,10,0.0,1.0,0.0,1.0,1,0.8298632326664077,1.5846582799633766,11142
26,1.0,17,10,1.0,0.0,0.0,1.0,1,0.9310521335302213,2.602964612446307,16218
27,1.0,24,11,1.0,0.0,0.0,1.0,1,0.8273085502073113,1.5666712463078607,995
28,1.0,17,10,1.0,0.0,0.0,1.0,1,0.9310521335302213,2.602964612446307,1
29,1.0,25,11,1.0,0.0,1.0,1.0,1,0.6145335985664393,0.466409570388269,1574
30,1.0,20,12,1.0,0.0,0.0,0.0,1,0.8037779981185783,1.4100764283948335,1
31,1.0,25,12,1.0,0.0,0.0,0.0,1,0.816651911590263,1.4938264787121354,3191
32,1.0,42,14,1.0,0.0,0.0,0.0,1,0.6844436880440786,0.7742692232007585,20505
33,1.0,23,12,1.0,0.0,1.0,0.0,1,0.3165961906058671,-0.7694587986692079,5911
34,1.0,46,8,1.0,0.0,1.0,1.0,1,0.17142716892024204,-1.5755462347715081,3094
35,1.0,24,10,1.0,0.0,0.0,1.0,1,0.8281090472169035,1.572284564944719,1
36,1.0,21,12,1.0,0.0,0.0,0.0,1,0.8005231903054194,1.3895675143519681,1254
37,1.0,19,9,0.0,0.0,0.0,1.0,1,0.7656304963812878,1.1838007274314484,13188
38,1.0,17,8,1.0,0.0,0.0,1.0,1,0.9331512361790597,2.636134472822419,8061
39,1.0,18,8,0.0,1.0,1.0,1.0,1,0.3012904211641551,-0.8411605210341015,2787
40,1.0,20,11,1.0,0.0,0.0,1.0,1,0.8298137952199127,1.584308172655085,3972
41,1.0,25,11,1.0,0.0,1.0,1.0,1,0.6145335985664393,0.466409570388269,1
42,1.0,17,8,1.0,0.0,0.0,1.0,1,0.9331512361790597,2.636134472822419,1
43,1.0,17,9,1.0,0.0,0.0,1.0,1,0.9434147529369583,2.813757710141603,1
44,1.0,23,12,1.0,0.0,0.0,0.0,1,0.7984382229851579,1.3765616782511663,4843
45,1.0,28,8,1.0,0.0,0.0,1.0,1,0.8161546252378886,1.4905087789665068,1
46,1.0,31,11,1.0,0.0,1.0,1.0,1,0.4850179877464169,-0.05994599400412828,8087
47,1.0,18,11,1.0,0.0,0.0,1.0,1,0.8915915801851605,2.1071023984203303,1
48,1.0,25,12,1.0,0.0,0.0,0.0,1,0.816651911590263,1.4938264787121354,2348
49,1.0,30,11,1.0,0.0,1.0,1.0,1,0.5136957045260216,0.05479652526244702,590
50,1.0,17,10,1.0,0.0,0.0,1.0,1,0.9310521335302213,2.602964612446307,1
51,1.0,37,9,1.0,0.0,0.0,1.0,1,0.7220727523318358,0.9547665184128284,1067
52,1.0,42,14,1.0,0.0,1.0,0.0,1,0.26351445452601147,-1.0277813873782269,13167
53,1.0,22,11,0.0,0.0,0.0,1.0,1,0.610906067073675,0.45112242368908917,1048
54,1.0,17,8,1.0,0.0,0.0,1.0,1,0.9331512361790597,2.636134472822419,1
55,1.0,29,8,1.0,0.0,0.0,1.0,1,0.8161546252378886,1.4905087789665068,1923
56,1.0,35,10,1.0,0.0,0.0,1.0,1,0.7067402028229013,0.8796042382483837,4666
57,1.0,27,11,1.0,0.0,0.0,1.0,1,0.832639520312475,1.6044507527053697,549
58,1.0,28,9,1.0,0.0,0.0,1.0,1,0.8277540005816462,1.5697923253089454,10694
59,1.0,27,11,1.0,0.0,0.0,1.0,1,0.832639520312475,1.6044507527053697,1
60,1.0,29,13,1.0,0.0,0.0,0.0,1,0.7691334461048407,1.203424631616797,7479
61,1.0,27,9,1.0,0.0,0.0,1.0,1,0.8360710464799727,1.6292804695837033,1
62,1.0,46,13,1.0,0.0,0.0,0.0,1,0.7640775675621236,1.1751662373464689,647
63,1.0,25,12,1.0,0.0,0.0,0.0,1,0.816651911590263,1.4938264787121354,11965
64,1.0,25,11,0.0,0.0,0.0,1.0,1,0.6395457769806263,0.573393234166646,18783
65,1.0,22,12,1.0,0.0,0.0,0.0,1,0.8005231903054194,1.3895675143519681,18678
66,1.0,21,9,1.0,0.0,0.0,1.0,1,0.8211013312229296,1.5238269766508443,1
67,1.0,40,11,1.0,0.0,0.0,1.0,1,0.663311762894154,0.678087720545494,23005
68,1.0,22,11,1.0,0.0,0.0,1.0,1,0.8122988541672398,1.4650172712826681,6456
69,1.0,25,12,1.0,0.0,0.0,0.0,1,0.816651911590263,1.4938264787121354,1
70,1.0,18,12,1.0,0.0,0.0,0.0,1,0.8634259524474097,1.8440412006458888,2321
71,1.0,38,12,0.0,0.0,0.0,0.0,1,0.43878956277052356,-0.24607600384055064,4941
72,1.0,27,13,1.0,0.0,0.0,0.0,1,0.7950115686077222,1.3554031209430246,1
73,1.0,27,8,1.0,0.0,0.0,1.0,1,0.824471671136215,1.5469423346624291,1
74,1.0,38,11,1.0,0.0,0.0,1.0,1,0.6962215662237605,0.8293693525362076,1
75,1.0,23,8,0.0,1.0,0.0,1.0,1,0.7700636798074307,1.2086708106167843,3881
76,1.0,26,11,1.0,0.0,0.0,1.0,1,0.832639520312475,1.6044507527053697,17230
77,1.0,21,12,0.0,0.0,0.0,0.0,1,0.42074246716375546,-0.31972623813621226,8048
78,1.0,25,8,1.0,0.0,0.0,1.0,1,0.821680383570734,1.5277739536196842,1
79,1.0,31,11,1.0,0.0,1.0,1.0,1,0.4850179877464169,-0.05994599400412828,14509
80,1.0,17,10,1.0,0.0,0.0,1.0,1,0.9310521335302213,2.602964612446307,1
81,1.0,25,11,1.0,0.0,0.0,1.0,1,0.8287371216358826,1.5767033254340896,1
82,1.0,21,12,1.0,0.0,0.0,0.0,1,0.8005231903054194,1.3895675143519681,9983
83,1.0,44,11,1.0,0.0,0.0,1.0,1,0.6509729566152962,0.6233186926394662,1
84,1.0,25,12,0.0,0.0,0.0,0.0,1,0.4377907260047694,-0.250133152550202,5587
85,1.0,18,9,1.0,0.0,0.0,1.0,1,0.936479739674359,2.6907689723036787,4482
86,1.0,42,12,1.0,0.0,0.0,0.0,1,0.7546034463335326,1.123316886180342,2456
87,1.0,25,10,1.0,0.0,0.0,1.0,1,0.8295376186454749,1.5823538244285558,1
88,1.0,31,9,0.0,1.0,0.0,1.0,1,0.7981953650687987,1.375053310268377,26817
89,1.0,24,10,1.0,0.0,0.0,1.0,1,0.8281090472169035,1.572284564944719,1
90,1.0,26,10,1.0,0.0,0.0,1.0,1,0.8323289062109559,1.6022233972764934,9265
91,1.0,25,11,1.0,0.0,0.0,1.0,1,0.8287371216358826,1.5767033254340896,485
92,1.0,18,11,1.0,0.0,0.0,1.0,1,0.8915915801851605,2.1071023984203303,4814
