treat,age,agesq,education*,educsq,black,hispanic,married,nodegree,re74,re75,u75,u74,educ_re74,propensity_score,propensity_logit,re78
1.0,18,324,11,121,1.0,0.0,0.0,1.0,858,214,0,0,9438,0.9887996252274462,4.480544468109433,929
1.0,29,841,14,196,1.0,0.0,0.0,0.0,0,679,0,1,0,0.9461628357870284,2.866450671778576,17814
1.0,25,625,8,64,1.0,0.0,0.0,1.0,0,0,1,1,0,0.9997287678730421,8.212264277762946,0
1.0,20,400,12,144,1.0,0.0,0.0,0.0,0,377,0,1,0,0.9819973602079045,3.999070217911759,1652
1.0,21,441,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9888101886154863,4.481498724207251,9983
1.0,27,729,12,144,1.0,0.0,0.0,0.0,2143,357,0,0,25716,0.9925972604377102,4.89847486034421,22163
1.0,18,324,10,100,1.0,0.0,0.0,1.0,0,798,0,1,0,0.993367019306131,5.0090459223885855,9737
1.0,41,1681,14,196,0.0,0.0,0.0,0.0,0,0,1,1,0,0.9085998416505666,2.296657568099867,5149
1.0,25,625,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9940822817923128,5.123869044988762,3191
1.0,19,361,11,121,1.0,0.0,0.0,1.0,2305,2615,0,0,25355,0.9519944146786735,2.9872418028405288,4146
1.0,28,784,11,121,1.0,0.0,0.0,1.0,1929,6871,0,0,21219,0.820565647324274,1.5201844984759347,0
1.0,40,1600,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9907974282245597,4.679027116156899,10804
1.0,20,400,10,100,1.0,0.0,0.0,1.0,5005,2777,0,0,50050,0.9711585013027266,3.5166744130997243,5615
1.0,29,841,13,169,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9883735391467512,4.442777093980731,7479
1.0,22,484,9,81,1.0,0.0,0.0,1.0,2192,3836,0,0,19728,0.9850787671363285,4.18993638163561,3462
1.0,20,400,11,121,1.0,0.0,0.0,1.0,16318,1484,0,0,179498,0.936707048595592,2.6945966143810356,6943
1.0,24,576,10,100,1.0,0.0,1.0,1.0,11703,4078,0,0,117030,0.9269141089751698,2.5402255675551104,0
1.0,20,400,9,81,0.0,1.0,0.0,1.0,12260,5875,0,0,110340,0.6931826718407377,0.8150410119757814,1358
1.0,20,400,12,144,1.0,0.0,0.0,0.0,989,165,0,0,11868,0.9827768239039526,4.044126134396287,0
1.0,31,961,12,144,0.0,0.0,0.0,0.0,0,2611,0,1,0,0.9741125055753767,3.6277667944239664,2484
1.0,18,324,9,81,1.0,0.0,0.0,1.0,0,3287,0,1,0,0.9827919613926966,4.0450208257924105,5010
1.0,21,441,12,144,1.0,0.0,0.0,0.0,6473,3332,0,0,77676,0.8572252930460299,1.792432857704285,9371
1.0,23,529,12,144,1.0,0.0,0.0,0.0,6269,3039,0,0,75228,0.9139508239027418,2.3628578189228855,8484
1.0,42,1764,14,196,1.0,0.0,0.0,0.0,0,0,1,1,0,0.897924835379948,2.174376912608888,20505
1.0,18,324,11,121,0.0,0.0,0.0,1.0,3678,919,0,0,40458,0.9749531443183155,3.6616411147705206,4321
1.0,21,441,13,169,1.0,0.0,0.0,0.0,0,0,1,1,0,0.97006850233323,3.4784553303699868,17094
1.0,21,441,9,81,1.0,0.0,0.0,1.0,6416,5749,0,0,57744,0.888358688546536,2.0740844342145976,743
1.0,22,484,12,144,1.0,0.0,0.0,0.0,5605,936,0,0,67260,0.9745329172326815,3.6445715505620586,0
1.0,17,289,10,100,1.0,0.0,0.0,1.0,1291,5793,0,0,12910,0.7670990682304916,1.1920027786894212,5522
1.0,27,729,13,169,0.0,0.0,1.0,0.0,9381,853,0,0,121953,0.964515689995734,3.3025354726328895,0
1.0,33,1089,11,121,1.0,0.0,0.0,1.0,0,7867,0,1,0,0.75337870038501,1.1167140634000883,6281
1.0,46,2116,13,169,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9034707460464731,2.2363976188497676,647
1.0,33,1089,12,144,1.0,0.0,1.0,0.0,20279,10941,0,0,243348,0.038894853782962126,-3.2072218679465516,15952
1.0,22,484,12,144,0.0,0.0,0.0,0.0,6759,8455,0,0,81108,0.17354221822536944,-1.56072793272659,12590
1.0,29,841,12,144,1.0,0.0,0.0,0.0,10881,1817,0,0,130572,0.9707750353655004,3.5030714607477003,0
1.0,22,484,10,100,1.0,0.0,1.0,1.0,1468,5588,0,0,14680,0.9206112794121838,2.450681583474199,13228
1.0,18,324,12,144,1.0,0.0,0.0,0.0,0,0,1,1,0,0.9778917058564167,3.789446094964937,2321
1.0,25,625,12,144,1.0,0.0,0.0,0.0,14426,2409,0,0,173112,0.9286518692814365,2.5661627867124124,0
1.0,31,961,9,81,1.0,0.0,0.0,1.0,10717,5517,0,0,96453,0.9296986289837319,2.5820691777824054,9558
1.0,29,841,12,144,1.0,0.0,0.0,0.0,9748,4878,0,0,116976,0.8202486339536057,1.518032910163277,10976
