treat,age,agesq,education*,educsq,black,hispanic,married,nodegree,re75,u75,propensity_score,propensity_logit,re78
1.0,26,676,11,121,1.0,0.0,1.0,1.0,2754,0,0.9712375148363089,3.51949910732175,26372
1.0,20,400,12,144,1.0,0.0,0.0,0.0,9227,0,0.923359043845452,2.4888865459402916,0
1.0,21,441,13,169,0.0,0.0,0.0,0.0,8616,0,0.22060136698302776,-1.26216533555214,99
1.0,18,324,8,64,1.0,0.0,0.0,1.0,1199,0,0.9982658692739925,6.3555133775398325,0
1.0,31,961,9,81,1.0,0.0,0.0,1.0,5517,0,0.9930103519878046,4.95631088988466,9558
1.0,21,441,12,144,1.0,0.0,0.0,0.0,3332,0,0.9843444498549423,4.14115039049208,9371
1.0,18,324,10,100,1.0,0.0,0.0,1.0,798,0,0.9975533042737337,6.010567154096322,9737
1.0,20,400,12,144,1.0,0.0,0.0,0.0,6085,0,0.9661778074044732,3.352230710213235,9750
1.0,29,841,12,144,1.0,0.0,0.0,0.0,1817,0,0.9891934402478159,4.516736570045899,0
1.0,18,324,10,100,1.0,0.0,0.0,1.0,1371,0,0.9971372932568073,5.853120875888712,12064
1.0,38,1444,12,144,0.0,0.0,0.0,0.0,0,1,0.9406068423475957,2.762346215237773,4941
1.0,23,529,10,100,1.0,0.0,0.0,1.0,2217,0,0.9969299191244638,5.782976570665498,0
1.0,27,729,11,121,1.0,0.0,0.0,1.0,2666,0,0.9951863381475147,5.331471899776124,0
1.0,26,676,11,121,1.0,0.0,1.0,1.0,1392,0,0.9800376529437503,3.893743140338857,1460
1.0,26,676,10,100,1.0,0.0,0.0,1.0,6788,0,0.9892732855036466,4.524233306693772,672
1.0,21,441,11,121,0.0,1.0,0.0,1.0,17983,0,0.43585999697078387,-0.25798136909712893,15191
1.0,18,324,9,81,1.0,0.0,0.0,1.0,1182,0,0.997890847230972,6.159357563231547,5100
1.0,17,289,9,81,0.0,1.0,0.0,1.0,74,0,0.9936006321127154,5.045136129487308,6210
1.0,20,400,9,81,0.0,1.0,0.0,1.0,8015,0,0.9530507837176392,3.010601677587106,5487
1.0,27,729,8,64,1.0,0.0,0.0,1.0,7218,0,0.9921830015866442,4.84360692141227,7976
1.0,33,1089,11,121,1.0,0.0,0.0,1.0,7867,0,0.9739541341233244,3.6215051562578284,6281
1.0,34,1156,11,121,0.0,1.0,0.0,1.0,4641,0,0.9556694807934324,3.070738760889568,2877
1.0,24,576,11,121,1.0,0.0,0.0,1.0,9180,0,0.9725982437393086,3.569363983784726,0
1.0,24,576,12,144,1.0,0.0,0.0,0.0,18154,0,0.5289057871373463,0.11575221852574671,0
1.0,27,729,9,81,1.0,0.0,1.0,1.0,934,0,0.9896878988984222,4.564071569934262,1773
1.0,18,324,11,121,0.0,1.0,0.0,1.0,5491,0,0.9548726439680281,3.052089347961419,2454
1.0,28,784,11,121,1.0,0.0,1.0,1.0,6952,0,0.910718486238934,2.322439379603132,7318
1.0,41,1681,14,196,0.0,0.0,0.0,0.0,0,1,0.8177456881256143,1.5011483638253948,5149
1.0,25,625,12,144,1.0,0.0,0.0,0.0,2409,0,0.9883551162026463,4.4411751379958035,0
1.0,23,529,12,144,0.0,1.0,0.0,0.0,1117,0,0.9685832930449528,3.4284946612125875,559
1.0,21,441,11,121,0.0,1.0,0.0,1.0,6658,0,0.9455173287004675,2.853849522179464,9381
1.0,22,484,12,144,0.0,1.0,1.0,0.0,7055,0,0.49392726759191374,-0.02429212414182914,10092
1.0,21,441,12,144,0.0,0.0,0.0,0.0,0,1,0.9703210212977738,3.487187959132364,8048
1.0,27,729,11,121,1.0,0.0,0.0,1.0,14223,0,0.8962181845863977,2.15589312622348,7661
1.0,24,576,11,121,1.0,0.0,1.0,1.0,1666,0,0.9787231526461425,3.828629313848741,4032
1.0,29,841,10,100,1.0,0.0,1.0,1.0,4923,0,0.9590443152740946,3.1534466618851886,130
1.0,26,676,11,121,0.0,0.0,0.0,1.0,2226,0,0.8736153368646224,1.9333100223746524,13385
1.0,27,729,12,144,1.0,0.0,0.0,0.0,4310,0,0.9800028062508395,3.8919634840144903,0
1.0,22,484,10,100,1.0,0.0,1.0,1.0,5588,0,0.9541540433313328,3.035538120667107,13228
1.0,22,484,11,121,0.0,0.0,0.0,1.0,0,1,0.9890031024749738,4.49908427876229,1048
1.0,19,361,12,144,1.0,0.0,0.0,0.0,2534,0,0.9864423018853231,4.287150323506247,4551
1.0,29,841,12,144,1.0,0.0,0.0,0.0,4878,0,0.9752929487976038,3.6756492094986544,10976
1.0,25,625,8,64,0.0,0.0,0.0,1.0,23096,0,0.046129308497705156,-3.0290796116001273,6421
1.0,20,400,12,144,0.0,0.0,1.0,0.0,8644,0,0.06338866945965926,-2.692983263875191,11656
1.0,20,400,9,81,0.0,1.0,0.0,1.0,5875,0,0.9733672797114014,3.598620936512659,1358
1.0,31,961,12,144,0.0,0.0,0.0,0.0,2611,0,0.661117409227078,0.6682777402319957,2484
1.0,21,441,11,121,1.0,0.0,0.0,1.0,5310,0,0.9899035383516661,4.585422471754476,7906
1.0,19,361,10,100,0.0,0.0,0.0,1.0,5324,0,0.7823508535137681,1.2794189552151551,13829
1.0,26,676,12,144,1.0,0.0,1.0,0.0,5794,0,0.8450645316801437,1.6964042964853188,1424
1.0,25,625,11,121,0.0,0.0,0.0,1.0,0,1,0.9892428881416088,4.521372787041703,18783
1.0,23,529,10,100,1.0,0.0,1.0,1.0,936,0,0.9869980294382811,4.329567115270174,11233
