,treat,age,education*,black,hispanic,nodegree,black_age,married,re74,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,37.0,1.0,0,0,0.9821303439844076,4.006619953009158,9930
1,1.0,22,9,0.0,1.0,1.0,0.0,0.0,0,0,0.8053807211813196,1.4202698773818236,3595
2,1.0,30,12,1.0,0.0,0.0,30.0,0.0,0,0,0.9518723040072821,2.9845730796816468,24909
3,1.0,27,11,1.0,0.0,1.0,27.0,0.0,0,0,0.9818504291146503,3.990792066492286,7506
4,1.0,33,8,1.0,0.0,1.0,33.0,0.0,0,0,0.9861250280984453,4.263696515391775,289
5,1.0,22,9,1.0,0.0,1.0,22.0,0.0,0,0,0.9741459556083918,3.6290940992983716,4056
6,1.0,23,12,1.0,0.0,0.0,23.0,0.0,0,0,0.9283586975411778,2.561746427990349,0
7,1.0,32,11,1.0,0.0,1.0,32.0,0.0,0,0,0.9865178004181895,4.292811103414643,8472
8,1.0,22,16,1.0,0.0,0.0,22.0,0.0,0,0,0.9321820033502473,2.6207004811489893,2164
9,1.0,33,12,0.0,0.0,0.0,0.0,1.0,0,0,0.15350632668503578,-1.7073609452443264,12418
10,1.0,19,9,1.0,0.0,1.0,19.0,0.0,0,0,0.9691679347790485,3.4478826771449587,8173
11,1.0,21,13,1.0,0.0,0.0,21.0,0.0,0,0,0.9220677094315046,2.4707782783571863,17094
12,1.0,18,8,1.0,0.0,1.0,18.0,0.0,0,0,0.9663541091235194,3.357639404624708,0
13,1.0,27,10,1.0,0.0,1.0,27.0,1.0,0,0,0.9668417223294264,3.3727424140286644,18739
14,1.0,17,7,1.0,0.0,1.0,17.0,0.0,0,0,0.9632932115071636,3.267396132104465,3023
15,1.0,19,10,1.0,0.0,1.0,19.0,0.0,0,0,0.970047206436215,3.4777221422807414,3228
16,1.0,27,13,1.0,0.0,0.0,27.0,0.0,0,0,0.9444438031950741,2.8332011226640126,14581
17,1.0,23,10,1.0,0.0,1.0,23.0,0.0,0,0,0.9763241098006635,3.7193373718186273,7693
18,1.0,40,12,1.0,0.0,0.0,40.0,0.0,0,0,0.9731065587196404,3.588611153526357,10804
19,1.0,26,12,1.0,0.0,0.0,26.0,0.0,0,0,0.9395144013799545,2.7429578501437644,10747
20,1.0,23,11,1.0,0.0,1.0,23.0,0.0,0,0,0.9770041433068393,3.7491768369544043,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0.0,0,0,0.17920509044107386,-1.521742365976266,5149
22,1.0,38,9,0.0,0.0,1.0,0.0,0.0,0,0,0.430375726201325,-0.2803183656810748,6408
23,1.0,24,11,1.0,0.0,1.0,24.0,0.0,0,0,0.9783228420827021,3.8095806443388667,1991
24,1.0,18,10,1.0,0.0,1.0,18.0,0.0,0,0,0.9682414139404222,3.417318334896266,11163
25,1.0,29,11,1.0,0.0,1.0,29.0,1.0,0,0,0.9713459945700248,3.523389493933389,9642
26,1.0,25,11,1.0,0.0,1.0,25.0,0.0,0,0,0.9795675014893311,3.869984451723346,9897
27,1.0,27,10,0.0,1.0,1.0,0.0,0.0,0,0,0.7615489232951226,1.161190256060516,11142
28,1.0,17,10,1.0,0.0,1.0,17.0,0.0,0,0,0.9663305326125026,3.3569145275117993,16218
29,1.0,24,11,1.0,0.0,1.0,24.0,0.0,0,0,0.9783228420827021,3.8095806443388667,995
30,1.0,17,10,1.0,0.0,1.0,17.0,0.0,0,0,0.9663305326125026,3.3569145275117993,0
31,1.0,48,4,1.0,0.0,1.0,48.0,0.0,0,0,0.9936339883919872,5.0503957656157334,6551
32,1.0,25,11,1.0,0.0,1.0,25.0,1.0,0,0,0.9637982407930886,3.281774264395502,1574
33,1.0,20,12,1.0,0.0,0.0,20.0,0.0,0,0,0.915330906563326,2.3805350058369354,0
34,1.0,25,12,1.0,0.0,0.0,25.0,0.0,0,0,0.9359893152692923,2.6825540427592918,3191
35,1.0,42,14,1.0,0.0,0.0,42.0,0.0,0,0,0.9774474788629522,3.7690976985668585,20505
36,1.0,25,5,1.0,0.0,1.0,25.0,0.0,0,0,0.9756589214431232,3.690947660908672,6181
37,1.0,23,12,1.0,0.0,0.0,23.0,1.0,0,0,0.8779904333356837,1.9735362406625097,5911
38,1.0,46,8,1.0,0.0,1.0,46.0,1.0,0,0,0.988578108368577,4.460735824062063,3094
39,1.0,24,10,1.0,0.0,1.0,24.0,0.0,0,0,0.9776809142850126,3.77974117920309,0
40,1.0,21,12,1.0,0.0,0.0,21.0,0.0,0,0,0.919896293529526,2.4409388132214067,1254
41,1.0,19,9,0.0,0.0,1.0,0.0,0.0,0,0,0.6937211597204159,0.817574162855848,13188
42,1.0,17,8,1.0,0.0,1.0,17.0,0.0,0,0,0.9643338536066971,3.2972355972402383,8061
43,1.0,18,8,0.0,1.0,1.0,0.0,1.0,0,0,0.7375659109991084,1.0333554940838734,2787
44,1.0,20,11,1.0,0.0,1.0,20.0,0.0,0,0,0.9725609459708597,3.5679654148009927,3972
45,1.0,25,11,1.0,0.0,1.0,25.0,1.0,0,0,0.9637982407930886,3.281774264395502,0
46,1.0,17,8,1.0,0.0,1.0,17.0,0.0,0,0,0.9643338536066971,3.2972355972402383,0
47,1.0,17,9,1.0,0.0,1.0,17.0,0.0,0,0,0.9653460547013407,3.3270750623760206,0
48,1.0,25,5,1.0,0.0,1.0,25.0,0.0,0,0,0.9756589214431232,3.690947660908672,12187
49,1.0,23,12,1.0,0.0,0.0,23.0,0.0,0,0,0.9283586975411778,2.561746427990349,4843
50,1.0,28,8,1.0,0.0,1.0,28.0,0.0,0,0,0.9813242579594138,3.961677478469417,0
51,1.0,31,11,1.0,0.0,1.0,31.0,1.0,0,0,0.9745236224920408,3.644197108702326,8087
52,1.0,18,11,1.0,0.0,1.0,18.0,0.0,0,0,0.9691462670325701,3.447157800032045,0
53,1.0,25,12,1.0,0.0,0.0,25.0,0.0,0,0,0.9359893152692923,2.6825540427592918,2348
54,1.0,30,11,1.0,0.0,1.0,30.0,1.0,0,0,0.9729801868381432,3.5837933013178565,590
55,1.0,17,10,1.0,0.0,1.0,17.0,0.0,0,0,0.9663305326125026,3.3569145275117993,0
