,treat,age,agesq,education*,black,hispanic,married,married_u75,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,1369,11,1.0,0.0,1.0,1.0,1.0,0,0.8529474380896312,1.7579078386499647,9930
1,1.0,22,484,9,0.0,1.0,0.0,0.0,1.0,0,0.926791571649503,2.5384181427438652,3595
2,1.0,30,900,12,1.0,0.0,0.0,0.0,0.0,0,0.9684758115125834,3.424968367683268,24909
3,1.0,27,729,11,1.0,0.0,0.0,0.0,1.0,0,0.9834957117322173,4.087493035451529,7506
4,1.0,33,1089,8,1.0,0.0,0.0,0.0,1.0,0,0.9892837282680205,4.525217865516228,289
5,1.0,22,484,9,1.0,0.0,0.0,0.0,1.0,0,0.9893068725472173,4.527403328207707,4056
6,1.0,23,529,12,1.0,0.0,0.0,0.0,0.0,0,0.9710515029862777,3.512861222018361,0
7,1.0,32,1024,11,1.0,0.0,0.0,0.0,1.0,0,0.980025654449667,3.893130021653888,8472
8,1.0,22,484,16,1.0,0.0,0.0,0.0,0.0,0,0.9282841522933238,2.5606261333393197,2164
9,1.0,33,1089,12,0.0,0.0,1.0,1.0,0.0,0,0.08723201926602171,-2.3479102629249247,12418
10,1.0,19,361,9,1.0,0.0,0.0,0.0,1.0,0,0.9879572048078007,4.4071728100813585,8173
11,1.0,21,441,13,1.0,0.0,0.0,0.0,0.0,0,0.9618230433114399,3.2265983815346146,17094
12,1.0,18,324,8,1.0,0.0,0.0,0.0,1.0,0,0.9898690472495925,4.581977292675978,0
13,1.0,27,729,10,1.0,0.0,1.0,1.0,1.0,0,0.9307561839501352,2.598363514620254,18739
14,1.0,17,289,7,1.0,0.0,0.0,0.0,1.0,0,0.9914055719610451,4.748009615033398,3023
15,1.0,19,361,10,1.0,0.0,0.0,0.0,1.0,0,0.9848538542864086,4.1747471676368635,3228
16,1.0,27,729,13,1.0,0.0,0.0,0.0,0.0,0,0.9638355484713748,3.282844052805688,14581
17,1.0,23,529,10,1.0,0.0,0.0,0.0,1.0,0,0.986842392108167,4.3175102046642015,7693
18,1.0,40,1600,12,1.0,0.0,0.0,0.0,0.0,0,0.9278266148744454,2.553773527040897,10804
19,1.0,26,676,12,1.0,0.0,0.0,0.0,0.0,0,0.9714692126949976,3.5278258172980643,10747
20,1.0,23,529,11,1.0,0.0,0.0,0.0,1.0,0,0.9834565720847551,4.085084562219701,0
21,1.0,41,1681,14,0.0,0.0,0.0,0.0,0.0,0,0.12691483651617938,-1.9285168208475558,5149
22,1.0,38,1444,9,0.0,0.0,0.0,0.0,1.0,0,0.488300062283483,-0.0468082954730098,6408
23,1.0,24,576,11,1.0,0.0,0.0,0.0,1.0,0,0.9836789665860077,4.0988449208834945,1991
24,1.0,33,1089,11,1.0,0.0,0.0,0.0,1.0,7867,0.9486906455930563,2.9172096834456887,6281
25,1.0,18,324,10,1.0,0.0,0.0,0.0,1.0,0,0.9839698827369034,4.11712600778697,11163
26,1.0,29,841,11,1.0,0.0,1.0,1.0,1.0,0,0.9100715728112118,2.314509147368347,9642
27,1.0,25,625,11,1.0,0.0,0.0,0.0,1.0,0,0.9837588574848419,4.103833119310063,9897
28,1.0,27,729,10,0.0,1.0,0.0,0.0,1.0,0,0.9114067400723671,2.330933492432204,11142
29,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,0,0.9828882940430589,4.050732687699866,16218
30,1.0,24,576,11,1.0,0.0,0.0,0.0,1.0,0,0.9836789665860077,4.0988449208834945,995
31,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,0,0.9828882940430589,4.050732687699866,0
32,1.0,26,676,11,1.0,0.0,1.0,0.0,1.0,2754,0.8992305292457509,2.1887039898648792,26372
33,1.0,48,2304,4,1.0,0.0,0.0,0.0,1.0,0,0.9684592166668129,3.4244249547600893,6551
34,1.0,25,625,11,1.0,0.0,1.0,1.0,1.0,0,0.9154658878712476,2.3822779560342675,1574
35,1.0,20,400,12,1.0,0.0,0.0,0.0,0.0,0,0.9682914628504184,3.4189471846036787,0
36,1.0,25,625,12,1.0,0.0,0.0,0.0,0.0,0,0.9715739050393237,3.5316097791087167,3191
37,1.0,42,1764,14,1.0,0.0,0.0,0.0,0.0,0,0.8592914411410769,1.809417351176775,20505
38,1.0,25,625,5,1.0,0.0,0.0,0.0,1.0,0,0.995923318534235,5.498386973977087,6181
39,1.0,23,529,12,1.0,0.0,1.0,1.0,0.0,0,0.8570873285006426,1.7913060587425675,5911
40,1.0,46,2116,8,1.0,0.0,1.0,1.0,1.0,0,0.7609578432810663,1.1579380355280122,3094
41,1.0,24,576,10,1.0,0.0,0.0,0.0,1.0,0,0.9870198715248294,4.331270563328003,0
42,1.0,21,441,12,1.0,0.0,0.0,0.0,0.0,0,0.9694991197822825,3.4590240239791243,1254
43,1.0,19,361,9,0.0,0.0,0.0,0.0,1.0,0,0.6283395677518043,0.5251001124508706,13188
44,1.0,17,289,8,1.0,0.0,0.0,0.0,1.0,0,0.9891811122871847,4.515583972588885,8061
45,1.0,18,324,8,0.0,1.0,1.0,1.0,1.0,0,0.7050446081483766,0.8714369439363565,2787
46,1.0,20,400,11,1.0,0.0,0.0,0.0,1.0,0,0.9818571720741073,3.9911705248050144,3972
47,1.0,25,625,11,1.0,0.0,1.0,1.0,1.0,0,0.9154658878712476,2.3822779560342675,0
48,1.0,17,289,8,1.0,0.0,0.0,0.0,1.0,0,0.9891811122871847,4.515583972588885,0
49,1.0,17,289,9,1.0,0.0,0.0,0.0,1.0,0,0.986388809613212,4.283158330144375,0
50,1.0,25,625,5,1.0,0.0,0.0,0.0,1.0,0,0.995923318534235,5.498386973977087,12187
51,1.0,23,529,12,1.0,0.0,0.0,0.0,0.0,0,0.9710515029862777,3.512861222018361,4843
52,1.0,28,784,8,1.0,0.0,0.0,0.0,1.0,0,0.9915360696537241,4.763441680499975,0
53,1.0,31,961,11,1.0,0.0,1.0,1.0,1.0,0,0.902735171195692,2.2279917816120687,8087
54,1.0,18,324,11,1.0,0.0,0.0,0.0,1.0,0,0.9798599713518993,3.8847003653424688,0
55,1.0,25,625,12,1.0,0.0,0.0,0.0,0.0,0,0.9715739050393237,3.5316097791087167,2348
56,1.0,30,900,11,1.0,0.0,1.0,1.0,1.0,0,0.9068390673911552,2.275636544608817,590
57,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,0,0.9828882940430589,4.050732687699866,0
58,1.0,37,1369,9,1.0,0.0,0.0,0.0,1.0,0,0.9810033697577152,3.944314286814775,1067
59,1.0,41,1681,4,1.0,0.0,1.0,1.0,1.0,0,0.9476510684415818,2.896054835709059,7284
60,1.0,42,1764,14,1.0,0.0,1.0,1.0,0.0,0,0.5219514271386473,0.08786218790098639,13167
61,1.0,22,484,11,0.0,0.0,0.0,0.0,1.0,0,0.5449977607788646,0.18047934568819662,1048
62,1.0,17,289,8,1.0,0.0,0.0,0.0,1.0,0,0.9891811122871847,4.515583972588885,0
63,1.0,29,841,8,1.0,0.0,0.0,0.0,1.0,0,0.9912796839589019,4.733341237977651,1923
64,1.0,28,784,10,1.0,0.0,0.0,0.0,1.0,2836,0.9814812280795837,3.970277971760164,3196
65,1.0,35,1225,10,1.0,0.0,0.0,0.0,1.0,0,0.9802309753705596,3.903671932973177,4666
66,1.0,27,729,11,1.0,0.0,0.0,0.0,1.0,0,0.9834957117322173,4.087493035451529,549
67,1.0,29,841,4,1.0,0.0,0.0,0.0,1.0,0,0.9965400797088344,5.663043807755649,762
68,1.0,28,784,9,1.0,0.0,0.0,0.0,1.0,0,0.9893450231448666,4.5310160380554665,10694
69,1.0,27,729,11,1.0,0.0,0.0,0.0,1.0,0,0.9834957117322173,4.087493035451529,0
70,1.0,23,529,7,0.0,0.0,0.0,0.0,1.0,0,0.7563394903950037,1.1327144343672344,0
71,1.0,45,2025,5,1.0,0.0,1.0,1.0,1.0,0,0.8843661182112627,2.034442129416578,8546
72,1.0,29,841,13,1.0,0.0,0.0,0.0,0.0,0,0.9619995261238895,3.2314153279982847,7479
73,1.0,27,729,9,1.0,0.0,0.0,0.0,1.0,0,0.9895675234846271,4.552344320340539,0
74,1.0,46,2116,13,1.0,0.0,0.0,0.0,0.0,0,0.7986000119791802,1.3775672888244304,647
75,1.0,18,324,6,1.0,0.0,0.0,0.0,1.0,0,0.9936113844166438,5.04682857756501,0
76,1.0,25,625,12,1.0,0.0,0.0,0.0,0.0,0,0.9715739050393237,3.5316097791087167,11965
77,1.0,28,784,15,1.0,0.0,0.0,0.0,0.0,0,0.9424953128260711,2.796664485631584,9598
78,1.0,31,961,9,1.0,0.0,0.0,0.0,1.0,1698,0.985483229374567,4.217827533127145,10363
79,1.0,25,625,11,0.0,0.0,0.0,0.0,1.0,0,0.5552140158758756,0.22176042167956136,18783
80,1.0,22,484,12,1.0,0.0,0.0,0.0,0.0,0,0.9704113353906834,3.490328703117351,18678
81,1.0,28,784,11,1.0,0.0,0.0,0.0,1.0,1284,0.9804975717857446,3.917521187501985,60307
82,1.0,21,441,9,1.0,0.0,0.0,0.0,1.0,0,0.9889705834155422,4.4960986490694825,0
83,1.0,40,1600,11,1.0,0.0,0.0,0.0,1.0,0,0.9579524437932762,3.125996867242238,23005
84,1.0,22,484,11,1.0,0.0,0.0,0.0,1.0,0,0.9830859521294006,4.062552043318693,6456
85,1.0,25,625,12,1.0,0.0,0.0,0.0,0.0,0,0.9715739050393237,3.5316097791087167,0
86,1.0,27,729,9,1.0,0.0,1.0,0.0,1.0,934,0.9454061458160868,2.851693303414216,1773
87,1.0,23,529,10,1.0,0.0,1.0,0.0,1.0,936,0.9319240708985771,2.616627655704128,11233
88,1.0,29,841,10,1.0,0.0,0.0,0.0,1.0,4398,0.97723162101383,3.7593510108827988,0
89,1.0,18,324,12,1.0,0.0,0.0,0.0,0.0,0,0.9648543745206317,3.312477025141119,2321
90,1.0,38,1444,12,0.0,0.0,0.0,0.0,0.0,0,0.2527719135386603,-1.0838829205633664,4941
91,1.0,27,729,13,1.0,0.0,0.0,0.0,0.0,0,0.9638355484713748,3.282844052805688,0
92,1.0,27,729,8,1.0,0.0,0.0,0.0,1.0,0,0.9917131991584158,4.78476996278505,0
93,1.0,38,1444,11,1.0,0.0,0.0,0.0,1.0,0,0.9667669665992471,3.370413117268469,0
94,1.0,23,529,8,0.0,1.0,0.0,0.0,1.0,0,0.9423168407809256,2.793376304089384,3881
95,1.0,26,676,11,1.0,0.0,0.0,0.0,1.0,0,0.9836982889352567,4.100049157499413,17230
96,1.0,42,1764,9,1.0,0.0,1.0,0.0,1.0,3058,0.7965395627440248,1.364805224392338,1294
97,1.0,21,441,12,0.0,0.0,0.0,0.0,0.0,0,0.39578745995319065,-0.4230486736513723,8048
98,1.0,25,625,8,1.0,0.0,0.0,0.0,1.0,0,0.9918464108171025,4.801110046643576,0
99,1.0,31,961,11,1.0,0.0,1.0,1.0,1.0,0,0.902735171195692,2.2279917816120687,14509
100,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,0,0.9828882940430589,4.050732687699866,0
101,1.0,19,361,8,1.0,0.0,0.0,0.0,1.0,2657,0.9870293177744013,4.33200814569529,9970
102,1.0,29,841,14,1.0,0.0,0.0,0.0,0.0,679,0.9488449681579281,2.9203845600972618,17814
103,1.0,25,625,11,1.0,0.0,0.0,0.0,1.0,0,0.9837588574848419,4.103833119310063,0
104,1.0,21,441,12,1.0,0.0,0.0,0.0,0.0,0,0.9694991197822825,3.4590240239791243,9983
105,1.0,44,1936,11,1.0,0.0,0.0,0.0,1.0,0,0.9263479841961897,2.5318984443431467,0
106,1.0,19,361,10,1.0,0.0,0.0,0.0,1.0,385,0.9841744469749608,4.1301772511409,8124
107,1.0,25,625,12,0.0,0.0,0.0,0.0,0.0,0,0.4132701690499916,-0.35046291852178024,5587
108,1.0,18,324,10,1.0,0.0,0.0,0.0,1.0,798,0.9824456756040647,4.024744726322604,9737
109,1.0,18,324,9,1.0,0.0,0.0,0.0,1.0,0,0.987252009071523,4.3495516502314775,4482
110,1.0,19,361,9,1.0,0.0,0.0,0.0,1.0,798,0.986807044736308,4.314791528617002,17685
111,1.0,18,324,9,1.0,0.0,0.0,0.0,1.0,3287,0.9814585088292274,3.9690287527711265,5010
112,1.0,26,676,11,1.0,0.0,1.0,0.0,1.0,1392,0.9126458453771066,2.3463773048454075,1460
113,1.0,42,1764,12,1.0,0.0,0.0,0.0,0.0,0,0.9067234394471468,2.27426863606579,2456
114,1.0,25,625,10,1.0,0.0,0.0,0.0,1.0,0,0.9870836235426957,4.336258761754559,0
115,1.0,31,961,9,0.0,1.0,0.0,0.0,1.0,0,0.9187447606451207,2.4254130443130326,26817
116,1.0,24,576,10,1.0,0.0,0.0,0.0,1.0,0,0.9870198715248294,4.331270563328003,0
117,1.0,26,676,10,1.0,0.0,0.0,0.0,1.0,0,0.9870352907315052,4.33247479994392,9265
118,1.0,20,400,12,1.0,0.0,0.0,0.0,0.0,377,0.9669237262755925,3.3753033962426904,1652
119,1.0,19,361,10,0.0,0.0,0.0,0.0,1.0,5324,0.419783111207817,-0.3236638038235427,13829
120,1.0,25,625,11,1.0,0.0,0.0,0.0,1.0,0,0.9837588574848419,4.103833119310063,485
121,1.0,23,529,8,0.0,0.0,1.0,0.0,1.0,1713,0.2909975875618253,-0.8905439521473885,4232
122,1.0,31,961,12,0.0,0.0,0.0,0.0,0.0,2611,0.308527124166165,-0.807014162998427,2484
123,1.0,18,324,11,1.0,0.0,0.0,0.0,1.0,0,0.9798599713518993,3.8847003653424688,4814
124,1.0,19,361,11,1.0,0.0,0.0,0.0,1.0,0,0.9809661975155823,3.9423215251923494,7458
125,1.0,43,1849,9,1.0,0.0,0.0,0.0,1.0,0,0.9592397059541043,3.1584325753127636,0
126,1.0,27,729,13,1.0,0.0,0.0,0.0,0.0,0,0.9638355484713748,3.282844052805688,34099
127,1.0,26,676,11,0.0,0.0,0.0,0.0,1.0,2226,0.49007163177177465,-0.03971869368957309,13385
128,1.0,29,841,10,0.0,1.0,0.0,0.0,1.0,8853,0.778099999925244,1.2546282202513708,5112
129,1.0,17,289,9,1.0,0.0,0.0,0.0,1.0,0,0.986388809613212,4.283158330144375,1953
130,1.0,30,900,11,1.0,0.0,0.0,0.0,1.0,0,0.9819641207979084,3.9971917078846078,0
131,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,156,0.9825818894823434,4.03267318906773,10641
132,1.0,20,400,12,0.0,0.0,1.0,0.0,0.0,8644,0.04494486651986832,-3.056332520041164,11656
133,1.0,17,289,9,1.0,0.0,0.0,0.0,1.0,375,0.9857934829079734,4.239746073817128,3621
134,1.0,18,324,12,1.0,0.0,0.0,0.0,0.0,562,0.9625801680286294,3.247416523658703,0
135,1.0,21,441,11,0.0,1.0,0.0,0.0,1.0,1395,0.8676993827943564,1.8807685851793,0
136,1.0,30,900,11,1.0,0.0,0.0,0.0,1.0,1913,0.977593247516696,3.7757313176072578,0
137,1.0,18,324,11,0.0,1.0,0.0,0.0,1.0,5491,0.7790336788108909,1.2600439812309885,2454
138,1.0,20,400,12,1.0,0.0,0.0,0.0,0.0,9227,0.9129957412110048,2.3507741469198784,0
139,1.0,20,400,6,0.0,1.0,1.0,0.0,1.0,10802,0.5796370142081849,0.32128348013822366,4488
140,1.0,20,400,10,1.0,0.0,0.0,0.0,1.0,11073,0.9498706457094299,2.941719062418844,0
141,1.0,25,625,8,1.0,0.0,0.0,0.0,1.0,37431,0.6148800275406675,0.4678722690839982,2346
142,1.0,17,289,9,0.0,0.0,0.0,0.0,1.0,1618,0.553241446197054,0.2137762172139559,6011
143,1.0,18,324,10,0.0,1.0,0.0,0.0,1.0,2589,0.8615737069055399,1.8284226046398817,0
144,1.0,19,361,9,0.0,1.0,0.0,0.0,1.0,6511,0.8408324629445232,1.6644350887598023,7913
145,1.0,19,361,11,1.0,0.0,0.0,0.0,1.0,192,0.9805467171325133,3.9200944499528,661
146,1.0,27,729,10,0.0,1.0,0.0,0.0,1.0,421,0.9073917461855721,2.2821959993288243,3075
147,1.0,18,324,12,0.0,1.0,0.0,0.0,0.0,535,0.7792940237639427,1.261557020650423,1115
148,1.0,22,484,11,1.0,0.0,0.0,0.0,1.0,606,0.9818790220803549,3.992397837093874,317
149,1.0,20,400,9,1.0,0.0,0.0,0.0,1.0,660,0.9876248958200704,4.379616238558094,12229
150,1.0,20,400,11,1.0,0.0,0.0,0.0,1.0,696,0.9803647326960659,3.910597377061657,0
151,1.0,18,324,10,1.0,0.0,0.0,0.0,1.0,699,0.9826422421122751,4.036205561993005,480
152,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,856,0.9811393540699057,3.951636977256894,3251
153,1.0,26,676,12,1.0,0.0,0.0,0.0,0.0,1088,0.9677630009219362,3.401872390940637,11460
154,1.0,22,484,10,1.0,0.0,0.0,0.0,1.0,1071,0.9847977415378002,4.170992281692615,7315
155,1.0,20,400,12,1.0,0.0,0.0,0.0,0.0,1160,0.9638987443570078,3.2846586050314217,702
156,1.0,18,324,8,1.0,0.0,0.0,0.0,1.0,1199,0.9883780973677123,4.4431738384456985,0
157,1.0,18,324,9,1.0,0.0,0.0,0.0,1.0,1285,0.9852374966724093,4.200792318550137,15369
158,1.0,18,324,10,1.0,0.0,0.0,0.0,1.0,1371,0.9812642954256596,3.958410798654586,12064
159,1.0,19,361,10,1.0,0.0,0.0,0.0,1.0,1374,0.9822887392734944,4.015684660453862,13278
160,1.0,18,324,9,0.0,1.0,0.0,0.0,1.0,1713,0.8968088158786343,2.1622592778648158,8836
161,1.0,17,289,10,0.0,1.0,0.0,0.0,1.0,2202,0.8589784032787888,1.8068307330824849,4387
162,1.0,19,361,11,1.0,0.0,0.0,0.0,1.0,1927,0.9763218684071976,3.719240410678787,11965
163,1.0,27,729,11,1.0,0.0,1.0,0.0,1.0,2142,0.9043911590164072,2.2469966701430604,2186
164,1.0,19,361,10,1.0,0.0,0.0,0.0,1.0,3213,0.9781783827929594,3.8027909554250803,2975
165,1.0,19,361,9,0.0,1.0,0.0,0.0,1.0,3276,0.884825099751537,2.0389381533427744,14271
166,1.0,27,729,10,1.0,0.0,0.0,0.0,1.0,3213,0.9810712371692178,3.947962465684269,2094
167,1.0,21,441,11,1.0,0.0,1.0,0.0,1.0,4167,0.8761346623760117,1.9563248147049048,11300
168,1.0,29,841,10,1.0,0.0,1.0,0.0,1.0,4923,0.8914896526509799,2.1060482948573718,130
169,1.0,34,1156,11,0.0,1.0,0.0,0.0,1.0,4641,0.7734200472225691,1.227724424704559,2877
170,1.0,25,625,10,0.0,0.0,0.0,0.0,1.0,4712,0.4771899918996107,-0.09130340737978473,6103
171,1.0,31,961,13,0.0,0.0,0.0,0.0,0.0,5498,0.2020297590463765,-1.37365629615423,2329
172,1.0,41,1681,9,1.0,0.0,1.0,0.0,1.0,5783,0.7673631233413906,1.1934813540205726,0
173,1.0,21,441,11,0.0,1.0,0.0,0.0,1.0,6658,0.7809980532886699,1.2714920383786241,9381
174,1.0,20,400,11,1.0,0.0,0.0,0.0,1.0,6426,0.9625744612692315,3.2472581003814702,16451
175,1.0,24,576,12,0.0,1.0,1.0,0.0,0.0,7212,0.2911524073750913,-0.889793675634426,6485
176,1.0,41,1681,9,1.0,0.0,1.0,0.0,1.0,7212,0.7365380060179473,1.0280517159095781,3154
177,1.0,21,441,12,0.0,0.0,0.0,0.0,0.0,7390,0.21779552177901837,-1.2785595383401411,3557
178,1.0,22,484,11,1.0,0.0,0.0,0.0,1.0,7497,0.9606326095183075,3.19465421482455,668
179,1.0,20,400,9,0.0,1.0,0.0,0.0,1.0,8015,0.823344326002164,1.5391719989960264,5487
180,1.0,17,289,11,1.0,0.0,0.0,0.0,1.0,8497,0.9445194200851361,2.834643199888585,9017
181,1.0,24,576,11,1.0,0.0,0.0,0.0,1.0,9180,0.9541791793640427,3.036112885992706,0
182,1.0,23,529,12,1.0,0.0,1.0,0.0,0.0,15079,0.5435642318674552,0.17469989642861053,10283
183,1.0,23,529,10,1.0,0.0,0.0,0.0,1.0,15709,0.9240676061226659,2.498941845611991,5665
184,1.0,26,676,11,0.0,0.0,0.0,0.0,1.0,22959,0.08018061729962822,-2.4398955215099027,2746
185,1.0,21,441,13,1.0,0.0,0.0,0.0,0.0,24806,0.5878069007895939,0.35490656699204515,8803
186,1.0,18,324,10,1.0,0.0,1.0,0.0,1.0,1958,0.9087055062319381,2.2979305895830606,10989
187,1.0,22,484,10,1.0,0.0,0.0,0.0,1.0,653,0.9855054576662362,4.219382476745364,11134
188,1.0,17,289,10,1.0,0.0,0.0,0.0,1.0,1000,0.980828384344311,3.934966670827233,1433
189,1.0,20,400,7,1.0,0.0,0.0,0.0,1.0,1569,0.991330494438327,4.739236214109873,5518
190,1.0,17,289,9,1.0,0.0,0.0,0.0,1.0,1667,0.9835392110426444,4.090176380017689,5594
191,1.0,23,529,11,1.0,0.0,0.0,0.0,1.0,1961,0.979327613496658,3.858067403132463,3689
192,1.0,32,1024,10,1.0,0.0,0.0,0.0,1.0,2321,0.9793032109353209,3.856862738937008,179
193,1.0,19,361,12,1.0,0.0,0.0,0.0,0.0,2534,0.9559233301968342,3.0767470982357503,4551
194,1.0,30,900,10,1.0,0.0,0.0,0.0,1.0,2615,0.980675903979364,3.9268892162071687,0
195,1.0,25,625,12,1.0,0.0,0.0,0.0,0.0,2746,0.9613471955469698,3.2137162967764623,2090
196,1.0,26,676,11,0.0,0.0,0.0,0.0,1.0,4676,0.4198606567631966,-0.32334543502752733,1973
197,1.0,19,361,10,1.0,0.0,0.0,0.0,1.0,3473,0.9775265708893944,3.7726917910382047,5861
198,1.0,19,361,8,0.0,0.0,0.0,0.0,1.0,3416,0.5895411981690745,0.3620690412584586,9251
199,1.0,20,400,10,1.0,0.0,0.0,0.0,1.0,5100,0.9742489002684036,3.6331894811990884,13626
200,1.0,21,441,11,1.0,0.0,0.0,0.0,1.0,5310,0.9682171580035706,3.4165298145867733,7906
201,1.0,23,529,12,1.0,0.0,0.0,0.0,0.0,7841,0.9311916421549068,2.605139883720032,7947
202,1.0,19,361,11,1.0,0.0,0.0,0.0,1.0,6409,0.9608484665447814,3.200377123055634,11648
203,1.0,22,484,11,1.0,0.0,0.0,0.0,1.0,8774,0.9546450819075195,3.046821011278197,18295
204,1.0,23,529,12,1.0,0.0,0.0,0.0,0.0,7782,0.9316279916832428,2.611970078715519,14416
205,1.0,26,676,10,1.0,0.0,1.0,0.0,1.0,8141,0.8578441074092499,1.7974980994165042,4635
206,1.0,24,576,12,1.0,0.0,0.0,0.0,0.0,12982,0.8832679168352542,2.023747149641606,0
207,1.0,18,324,10,0.0,1.0,0.0,0.0,1.0,12625,0.6607402724295007,0.6665948593061217,0
208,1.0,27,729,11,1.0,0.0,0.0,0.0,1.0,14223,0.9198973372459104,2.440952977472056,7661
209,1.0,21,441,11,0.0,1.0,0.0,0.0,1.0,17983,0.49011176375222393,-0.039558102703960825,15191
210,1.0,25,625,8,0.0,0.0,0.0,0.0,1.0,23096,0.14745605253012703,-1.754694576677282,6421
211,1.0,21,441,12,1.0,0.0,0.0,0.0,0.0,807,0.9666120073701808,3.3656008483629045,4350
