,treat,age,education*,black,hispanic,married,nodegree,re74,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,0.0,1.0,1.0,0,0,0.9827483640690066,4.04244612409445,9930
1,1.0,22,9,0.0,1.0,0.0,1.0,0,0,0.25,-1.0986122886681098,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0,0,0.9827483640690066,4.04244612409445,24909
3,1.0,27,11,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,7506
4,1.0,33,8,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,289
5,1.0,22,9,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0,0,0.9827483640690066,4.04244612409445,0
7,1.0,32,11,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,8472
8,1.0,33,12,0.0,0.0,1.0,0.0,0,0,0.25,-1.0986122886681098,12418
9,1.0,19,9,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,8173
10,1.0,21,13,1.0,0.0,0.0,0.0,0,0,0.9827483640690066,4.04244612409445,17094
11,1.0,18,8,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,0
12,1.0,27,10,1.0,0.0,1.0,1.0,0,0,0.9827483640690066,4.04244612409445,18739
13,1.0,19,10,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,3228
14,1.0,27,13,1.0,0.0,0.0,0.0,0,0,0.9827483640690066,4.04244612409445,14581
15,1.0,23,10,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,7693
16,1.0,40,12,1.0,0.0,0.0,0.0,0,0,0.9827483640690066,4.04244612409445,10804
17,1.0,26,12,1.0,0.0,0.0,0.0,0,0,0.9827483640690066,4.04244612409445,10747
18,1.0,23,11,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,0
19,1.0,41,14,0.0,0.0,0.0,0.0,0,0,0.25,-1.0986122886681098,5149
20,1.0,38,9,0.0,0.0,0.0,1.0,0,0,0.25,-1.0986122886681098,6408
21,1.0,24,11,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,1991
22,1.0,18,10,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,11163
23,1.0,29,11,1.0,0.0,1.0,1.0,0,0,0.9827483640690066,4.04244612409445,9642
24,1.0,25,11,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,9897
25,1.0,27,10,0.0,1.0,0.0,1.0,0,0,0.25,-1.0986122886681098,11142
26,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,16218
27,1.0,24,11,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,995
28,1.0,17,10,1.0,0.0,0.0,1.0,0,0,0.9827483640690066,4.04244612409445,0
29,1.0,25,11,1.0,0.0,1.0,1.0,0,0,0.9827483640690066,4.04244612409445,1574
