,treat,age,education*,black,married,hispanic,married_u75,nodegree,re74,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,1.0,0.0,1.0,1.0,0,0,0.8684953230067815,1.8877197830539625,9930
1,1.0,22,9,0.0,0.0,1.0,0.0,1.0,0,0,0.9329836761743169,2.6334514757274015,3595
2,1.0,30,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9465761573837742,2.8745942922596592,24909
3,1.0,27,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9897940134562484,4.5745223900873,7506
4,1.0,33,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9731745875755663,3.5912138353082037,289
5,1.0,22,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9895056412877152,4.5463676188881905,4056
6,1.0,23,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9665137245491335,3.362559831953219,0
7,1.0,32,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9855993356249102,4.225975576020477,8472
8,1.0,22,16,1.0,0.0,0.0,0.0,0.0,0,0,0.9850159623004823,4.185672365298462,2164
9,1.0,33,12,0.0,1.0,0.0,1.0,0.0,0,0,0.19985295286962373,-1.3872136592122413,12418
10,1.0,19,9,1.0,0.0,0.0,0.0,1.0,0,0,0.9914691236037015,4.755495707328299,8173
11,1.0,21,13,1.0,0.0,0.0,0.0,0.0,0,0,0.9756442331161955,3.690329350212921,17094
12,1.0,18,8,1.0,0.0,0.0,0.0,1.0,0,0,0.9904048332846209,4.636854277508693,0
13,1.0,27,10,1.0,1.0,0.0,1.0,1.0,0,0,0.9165571624521911,2.396462618554651,18739
14,1.0,17,7,1.0,0.0,0.0,0.0,1.0,0,0,0.9892092099366131,4.518212847689083,3023
15,1.0,19,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9929233054592297,4.943846499961254,3228
16,1.0,27,13,1.0,0.0,0.0,0.0,0.0,0,0,0.9634582310076651,3.272073173332728,14581
17,1.0,23,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9906687297634087,4.665009048707789,7693
18,1.0,40,12,1.0,0.0,0.0,0.0,0.0,0,0,0.8982107897245457,2.1775006641260024,10804
19,1.0,26,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9590437293015404,3.1534317435131216,10747
20,1.0,23,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9922582822290801,4.853359841340773,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0.0,0,0,0.6038473942587339,0.4215220024464544,5149
22,1.0,38,9,0.0,0.0,0.0,0.0,1.0,0,0,0.7970644224085588,1.368046929742222,6408
23,1.0,24,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9917039940253634,4.783650478527411,1991
24,1.0,18,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9933966692094066,5.013555862774638,11163
25,1.0,29,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9202240201320139,2.445394685560888,9642
26,1.0,25,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9911103756748776,4.713941115714034,9897
27,1.0,27,10,0.0,0.0,1.0,0.0,1.0,0,0,0.9222455304330218,2.4732554542935397,11142
28,1.0,17,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9938385658973286,5.083265225587999,16218
29,1.0,24,11,1.0,0.0,0.0,0.0,1.0,0,0,0.9917039940253634,4.783650478527411,995
30,1.0,17,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9938385658973286,5.083265225587999,0
31,1.0,48,4,1.0,0.0,0.0,0.0,1.0,0,0,0.8571931460931804,1.7921702225758374,6551
32,1.0,25,11,1.0,1.0,0.0,1.0,1.0,0,0,0.9384414744917008,2.7242321368143507,1574
33,1.0,20,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9726601107658254,3.571687920393313,0
34,1.0,25,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9616958910842348,3.2231411063264885,3191
35,1.0,42,14,1.0,0.0,0.0,0.0,0.0,0,0,0.917947696631434,2.41478352376521,20505
36,1.0,25,5,1.0,0.0,0.0,0.0,1.0,0,0,0.9729813188145682,3.583836359916218,6181
37,1.0,23,12,1.0,1.0,0.0,1.0,0.0,0,0,0.7978403612987776,1.3728508530535366,5911
38,1.0,46,8,1.0,1.0,0.0,1.0,1.0,0,0,0.667141155188202,0.6952831398347618,3094
39,1.0,24,10,1.0,0.0,0.0,0.0,1.0,0,0,0.9900017802171457,4.5952996858944255,0
40,1.0,21,12,1.0,0.0,0.0,0.0,0.0,0,0,0.9707440127977126,3.5019785575799522,1254
41,1.0,19,9,0.0,0.0,0.0,0.0,1.0,0,0,0.9365841072183446,2.6925248231961723,13188
42,1.0,17,8,1.0,0.0,0.0,0.0,1.0,0,0,0.991045139633886,4.706563640322059,8061
