,treat,age,education*,black,married,hispanic,black_education,hisp_re75,nodegree,re75,propensity_score,propensity_logit,re78
0,1.0,37,11,1.0,1.0,0.0,11.0,0.0,1.0,0,0.78835564543233,1.3150420215543193,9930
1,1.0,22,9,0.0,0.0,1.0,0.0,1.0,1.0,0,0.9785742076206237,3.821501174433052,3595
2,1.0,30,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9314703032914672,2.6094971290954594,24909
3,1.0,27,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9871468474703853,4.341229695702243,7506
4,1.0,33,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9605966041040911,3.1937025512011754,289
5,1.0,22,9,1.0,0.0,0.0,9.0,0.0,1.0,0,0.9842198104829166,4.133093931442535,4056
6,1.0,23,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9544631797411277,3.0426278318199396,0
7,1.0,32,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9825678058931829,4.031850622327619,8472
8,1.0,22,16,1.0,0.0,0.0,16.0,0.0,0.0,0,0.9843195105643834,4.139533321763552,2164
9,1.0,33,12,0.0,1.0,0.0,0.0,0.0,0.0,0,0.10411274329149509,-2.1523401934191013,12418
10,1.0,19,9,1.0,0.0,0.0,9.0,0.0,1.0,0,0.9868581092680572,4.3187213754672955,8173
11,1.0,21,13,1.0,0.0,0.0,13.0,0.0,0.0,0,0.968480955856857,3.425136879986962,17094
12,1.0,18,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9840440642793645,4.121839771325056,0
13,1.0,27,10,1.0,1.0,0.0,10.0,0.0,1.0,0,0.8422469930599616,1.675042749486403,18739
14,1.0,17,7,1.0,0.0,0.0,7.0,0.0,1.0,0,0.9806392753085801,3.9249581671828095,3023
15,1.0,19,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9898238353275938,4.577478794284472,3228
16,1.0,27,13,1.0,0.0,0.0,13.0,0.0,0.0,0,0.9549498276123616,3.0538819919374056,14581
17,1.0,23,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9870032696208836,4.3299755355847624,7693
18,1.0,40,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.8798212963432875,1.9907389823462032,10804
19,1.0,26,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9456794157018233,2.857000387795164,10747
20,1.0,23,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9899365714431902,4.588732954401953,0
21,1.0,41,14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.49421438904370635,-0.02314347677993168,5149
22,1.0,38,9,0.0,0.0,0.0,0.0,0.0,1.0,0,0.8061854833114713,1.4254122420442532,6408
23,1.0,24,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9893010929925314,4.526857139727009,1991
24,1.0,33,11,1.0,0.0,0.0,11.0,0.0,1.0,7867,0.9402207781556622,2.755456578283614,6281
25,1.0,18,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9904285650714792,4.639354608959408,11163
26,1.0,29,11,1.0,1.0,0.0,11.0,0.0,1.0,0,0.8593677405350499,1.8100485389537229,9642
27,1.0,25,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9886259468531552,4.464981325052088,9897
28,1.0,27,10,0.0,0.0,1.0,0.0,1.0,1.0,0,0.97392885105791,3.620508954378386,11142
29,1.0,17,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9909976849269683,4.7012304236343185,16218
30,1.0,24,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9893010929925314,4.526857139727009,995
31,1.0,17,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9909976849269683,4.7012304236343185,0
32,1.0,26,11,1.0,1.0,0.0,11.0,0.0,1.0,2754,0.8278562568864386,1.5705096929464122,26372
33,1.0,48,4,1.0,0.0,0.0,4.0,0.0,1.0,0,0.7739123128129756,1.2305356558086071,6551
34,1.0,25,11,1.0,1.0,0.0,11.0,0.0,1.0,0,0.8867084646756574,2.0575517976534257,1574
35,1.0,20,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9618838370705939,3.2282552758447123,0
36,1.0,25,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9487717056157321,2.9188762024700865,3191
37,1.0,42,14,1.0,0.0,0.0,14.0,0.0,0.0,0,0.9156378581642115,2.384502190630697,20505
38,1.0,25,5,1.0,0.0,0.0,5.0,0.0,1.0,0,0.9484578197826317,2.9124368121490636,6181
39,1.0,23,12,1.0,1.0,0.0,12.0,0.0,0.0,0,0.653667225688244,0.6351983044212715,5911
40,1.0,46,8,1.0,1.0,0.0,8.0,0.0,1.0,0,0.4954719820468238,-0.01811256697152472,3094
41,1.0,24,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9861851459888749,4.2680997209098415,0
42,1.0,21,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9595492889295143,3.1663794611697917,1254
43,1.0,19,9,0.0,0.0,0.0,0.0,0.0,1.0,0,0.9309293002584542,2.6010527208678385,13188
44,1.0,17,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9849870537575205,4.183715585999975,8061
45,1.0,18,8,0.0,1.0,1.0,0.0,1.0,1.0,0,0.8253737087943105,1.5531880524141415,2787
46,1.0,20,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9916272126604581,4.774360398426703,3972
47,1.0,25,11,1.0,1.0,0.0,11.0,0.0,1.0,0,0.8867084646756574,2.0575517976534257,0
48,1.0,17,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9849870537575205,4.183715585999975,0
49,1.0,17,9,1.0,0.0,0.0,9.0,0.0,1.0,0,0.9883700442521268,4.442473004817152,0
50,1.0,25,5,1.0,0.0,0.0,5.0,0.0,1.0,0,0.9484578197826317,2.9124368121490636,12187
51,1.0,23,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9544631797411277,3.0426278318199396,4843
52,1.0,28,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9707753237207265,3.5030816245758016,0
53,1.0,31,11,1.0,1.0,0.0,11.0,0.0,1.0,0,0.8437365464661231,1.6862969096038727,8087
54,1.0,18,11,1.0,0.0,0.0,11.0,0.0,1.0,0,0.9925945938895689,4.8981120277765795,0
55,1.0,25,12,1.0,0.0,0.0,12.0,0.0,0.0,0,0.9487717056157321,2.9188762024700865,2348
56,1.0,30,11,1.0,1.0,0.0,11.0,0.0,1.0,0,0.8517221808457026,1.7481727242787983,590
57,1.0,17,10,1.0,0.0,0.0,10.0,0.0,1.0,0,0.9909976849269683,4.7012304236343185,0
58,1.0,37,9,1.0,0.0,0.0,9.0,0.0,1.0,0,0.961020381533626,3.204956711318647,1067
59,1.0,41,4,1.0,1.0,0.0,4.0,0.0,1.0,0,0.3221817910534496,-0.7437631688655812,7284
60,1.0,42,14,1.0,1.0,0.0,14.0,0.0,0.0,0,0.49426841687912976,-0.022927336767971374,13167
61,1.0,22,11,0.0,0.0,0.0,0.0,0.0,1.0,0,0.9329053214439778,2.6321989834829704,1048
62,1.0,17,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9849870537575205,4.183715585999975,0
63,1.0,29,8,1.0,0.0,0.0,8.0,0.0,1.0,0,0.9689677940996203,3.4412058099008767,1923
64,1.0,28,10,1.0,0.0,0.0,10.0,0.0,1.0,2836,0.972953295166635,3.582770899925832,3196
