treat,age,black,hispanic,married,nodegree,re74,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,u74,educ_re74,hisp_u74,black_u74,agesq,re78sq,re75sq,educsq,re74sq,ageboxcox,re78boxcox,re75boxcox,re74boxcox,lnre78,lnre75,lnre74,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17,education_18
1.0,37,1.0,0.0,1.0,1.0,0,0,9930,11,1,0,0.0,1.0,1,0,0.0,1.0,1369,98604900,1,121,1,4.307740695446506,8989888.579478264,0.0,0.0,9.203315757039219,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,0,3595,9,1,0,1.0,0.0,1,0,1.0,0.0,484,12924025,1,81,1,3.592874841816671,1438129.25669983,0.0,0.0,8.187299270155147,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,0,24909,12,1,0,0.0,1.0,1,0,0.0,1.0,900,620458281,1,144,1,4.015104110048755,47231406.57398931,0.0,0.0,10.122984462930141,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,7506,11,1,0,0.0,1.0,1,0,0.0,1.0,729,56340036,1,121,1,3.8702739061263074,5426393.061041507,0.0,0.0,8.923457979694966,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,0,289,8,1,0,0.0,1.0,1,0,0.0,1.0,1089,83521,1,64,1,4.147373892276733,15237.31859971382,0.0,0.0,5.666426688112432,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,0,4056,9,1,0,0.0,1.0,1,0,0.0,1.0,484,16451136,1,81,1,3.592874841816671,1787799.4137841153,0.0,0.0,8.30795254527102,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,0,12,1,0,0.0,1.0,1,0,0.0,1.0,529,1,1,144,1,3.6526280195076892,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,0,8472,11,1,0,0.0,1.0,1,0,0.0,1.0,1024,71774784,1,121,1,4.104538520018076,6750777.384571204,0.0,0.0,9.044521887281242,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,33,0.0,0.0,1.0,0.0,0,0,12418,12,1,0,0.0,0.0,1,0,0.0,0.0,1089,154206724,1,144,1,4.147373892276733,13455938.407161385,0.0,0.0,9.426902311924838,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,0,8173,9,1,0,0.0,1.0,1,0,0.0,1.0,361,66797929,1,81,1,3.397585994704756,6327111.096658174,0.0,0.0,9.00859131751613,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,0,17094,13,1,0,0.0,1.0,1,0,0.0,1.0,441,292204836,1,169,1,3.530611147032584,23948381.335004035,0.0,0.0,9.746482803725963,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,0,8,1,0,0.0,1.0,1,0,0.0,1.0,324,1,1,64,1,3.3262475279404002,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,1.0,1.0,0,0,18739,10,1,0,0.0,1.0,1,0,0.0,1.0,729,351150121,1,100,1,3.8702739061263074,28265409.86111534,0.0,0.0,9.838362192575666,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,0,3228,10,1,0,0.0,1.0,1,0,0.0,1.0,361,10419984,1,100,1,3.397585994704756,1184239.2606997027,0.0,0.0,8.07961802938984,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,0.0,0,0,14581,13,1,0,0.0,1.0,1,0,0.0,1.0,729,212605561,1,169,1,3.8702739061263074,17976607.22045358,0.0,0.0,9.587474590316285,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,0,7693,10,1,0,0.0,1.0,1,0,0.0,1.0,529,59182249,1,100,1,3.6526280195076892,5672695.48764837,0.0,0.0,8.948066103458935,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
1.0,40,1.0,0.0,0.0,0.0,0,0,10804,12,1,0,0.0,1.0,1,0,0.0,1.0,1600,116726416,1,144,1,4.418020914730442,10467416.66096601,0.0,0.0,9.287671714912506,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1.0,26,1.0,0.0,0.0,0.0,0,0,10747,12,1,0,0.0,1.0,1,0,0.0,1.0,676,115498009,1,144,1,3.818747155710005,10368010.863298854,0.0,0.0,9.282381924841154,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,0,0,11,1,0,0.0,1.0,1,0,0.0,1.0,529,1,1,121,1,3.6526280195076892,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,41,0.0,0.0,0.0,0.0,0,0,5149,14,1,0,0.0,0.0,1,0,0.0,0.0,1681,26512201,1,196,1,4.453120453438455,2749440.2848282573,0.0,0.0,8.546557800046141,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0
1.0,38,0.0,0.0,0.0,1.0,0,0,6408,9,1,0,0.0,0.0,1,0,0.0,0.0,1444,41062464,1,81,1,4.345372276570565,4079536.5849470147,0.0,0.0,8.765302488748196,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,0,1991,11,1,0,0.0,1.0,1,0,0.0,1.0,576,3964081,1,121,1,3.7100747051854874,495308.62577391375,0.0,0.0,7.596392304064196,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,11163,10,1,0,0.0,1.0,1,0,0.0,1.0,324,124612569,1,100,1,3.3262475279404002,11103191.143950144,0.0,0.0,9.320360017014732,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
1.0,29,1.0,0.0,1.0,1.0,0,0,9642,11,1,0,0.0,1.0,1,0,0.0,1.0,841,92968164,1,121,1,3.9683442058178384,8525052.872963453,0.0,0.0,9.173883834965567,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,0,9897,11,1,0,0.0,1.0,1,0,0.0,1.0,625,97950609,1,121,1,3.765394670133574,8936068.722055431,0.0,0.0,9.199986959896691,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,27,0.0,1.0,0.0,1.0,0,0,11142,10,1,0,1.0,0.0,1,0,1.0,0.0,729,124144164,1,100,1,3.8702739061263074,11065541.420290546,0.0,0.0,9.31847703058076,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,16218,10,1,0,0.0,1.0,1,0,0.0,1.0,289,263023524,1,100,1,3.2512278777165484,21780323.549579397,0.0,0.0,9.693877015504503,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,0,995,11,1,0,0.0,1.0,1,0,0.0,1.0,576,990025,1,121,1,3.7100747051854874,141730.5624065375,0.0,0.0,6.902742737158593,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,0,0,10,1,0,0.0,1.0,1,0,0.0,1.0,289,1,1,100,1,3.2512278777165484,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0
