treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,re78sq,re75sq,educsq,ageboxcox,re78boxcox,re75boxcox,lnre78,lnre75,education_1,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17,education_18
1.0,37,1.0,0.0,1.0,1.0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1369,98604900,1,121,4.935568135070046,128.95645712390143,0.0,9.203315757039219,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,484,12924025,1,81,4.031805260868567,81.57234436631065,0.0,8.187299270155147,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,900,620458281,1,144,4.561636201904492,194.5779478276214,0.0,10.122984462930141,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,729,56340036,1,121,4.378603334624191,113.72279052339164,0.0,8.923457979694966,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1089,83521,1,64,4.729971912479329,25.319980064023802,0.0,5.666426688112432,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,484,16451136,1,81,4.031805260868567,86.1534245505414,0.0,8.30795254527102,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,529,1,1,144,4.106087574170275,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1024,71774784,1,121,4.67533385715455,120.08274057460069,0.0,9.044521887281242,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,0.0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,484,4682896,1,256,4.031805260868567,64.75951924287105,0.0,7.679713639966372,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,33,0.0,0.0,1.0,0.0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1089,154206724,1,144,4.729971912479329,142.55262728646008,0.0,9.426902311924838,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,8173,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,19.0,9.0,0.0,361,66797929,1,81,3.7906438013860337,118.1596160925004,0.0,9.00859131751613,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,17094,13,1,0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,441,292204836,1,169,3.9546477265588305,164.46762344478583,0.0,9.746482803725963,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,18.0,8.0,0.0,324,1,1,64,3.703165208990785,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,1.0,1.0,0,18739,10,1,0,0.0,1.0,1.0,0.0,1.0,10.0,27.0,10.0,0.0,729,351150121,1,100,4.378603334624191,171.36122047436191,0.0,9.838362192575666,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,3023,7,1,0,0.0,1.0,0.0,0.0,1.0,7.0,17.0,7.0,0.0,289,9138529,1,49,3.611529515721841,75.40465184513619,0.0,8.014004994779459,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,3228,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,19.0,10.0,0.0,361,10419984,1,100,3.7906438013860337,77.6846154795204,0.0,8.07961802938984,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,0.0,0,14581,13,1,0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,13.0,0.0,729,212605561,1,169,4.378603334624191,153.17786200026902,0.0,9.587474590316285,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,7693,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,23.0,10.0,0.0,529,59182249,1,100,4.106087574170275,114.98820470166189,0.0,8.948066103458935,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,40,1.0,0.0,0.0,0.0,0,10804,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,12.0,0.0,1600,116726416,1,144,5.077904651415065,133.92930153926497,0.0,9.287671714912506,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,26,1.0,0.0,0.0,0.0,0,10747,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,12.0,0.0,676,115498009,1,144,4.313810477859777,133.61199940621782,0.0,9.282381924841154,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,0,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,23.0,11.0,0.0,529,1,1,121,4.106087574170275,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,41,0.0,0.0,0.0,0.0,0,5149,14,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681,26512201,1,196,5.123369598862009,95.9631289513148,0.0,8.546557800046141,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,38,0.0,0.0,0.0,1.0,0,6408,9,1,0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1444,41062464,1,81,4.984051275128488,105.90965795216304,0.0,8.765302488748196,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,1991,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,24.0,11.0,0.0,576,3964081,1,121,4.177720095722324,62.341675896124904,0.0,7.596392304064196,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,7867,6281,11,0,86537,0.0,0.0,0.0,7867.0,0.0,11.0,33.0,11.0,0.0,1089,39450961,61889689,121,4.729971912479329,104.95901922506867,113.98503972227795,8.74528448245438,8.970432074329242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,11163,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,18.0,10.0,0.0,324,124612569,1,100,3.703165208990785,135.90657565968522,0.0,9.320360017014732,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,29,1.0,0.0,1.0,1.0,0,9642,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,29.0,11.0,0.0,841,92968164,1,121,4.502394833016174,127.26449415404686,0.0,9.173883834965567,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,25,1.0,0.0,0.0,1.0,0,9897,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,25.0,11.0,0.0,625,97950609,1,121,4.246902063237979,128.7639903101124,0.0,9.199986959896691,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,27,0.0,1.0,0.0,1.0,0,11142,10,1,0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,729,124144164,1,100,4.378603334624191,135.79190099140584,0.0,9.31847703058076,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,17,1.0,0.0,0.0,1.0,0,16218,10,1,0,0.0,1.0,0.0,0.0,1.0,10.0,17.0,10.0,0.0,289,263023524,1,100,3.611529515721841,160.6445971679884,0.0,9.693877015504503,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,24,1.0,0.0,0.0,1.0,0,995,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,24.0,11.0,0.0,576,990025,1,121,4.177720095722324,45.31671445507197,0.0,6.902742737158593,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
