treat,age,black,hispanic,married,nodegree,re74,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,u74,educ_re74,hisp_u74,black_u74,married_u74,married_re74,nodegree_u74,nodegree_re74,agesq,re78sq,re75sq,educsq,re74sq,ageboxcox,re78boxcox,re75boxcox,re74boxcox,lnre78,lnre75,lnre74,education_2,education_3,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17
1.0,37,1.0,0.0,1.0,1.0,0,0,9930,11,1,0,0.0,1.0,1.0,0.0,1.0,11.0,37.0,11.0,0.0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,1369,98604900,1,121,1,3.2767044410997412,115.41922685520204,0.0,0.0,9.203315757039219,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,0,3595,9,1,0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,484,12924025,1,81,1,2.8438752934370206,74.1022004425798,0.0,0.0,8.187299270155147,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,0,24909,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,900,620458281,1,144,1,3.103578458323443,171.78208695887625,0.0,0.0,10.122984462930141,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,0,7506,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,27.0,11.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,729,56340036,1,121,1,3.0158501920602214,102.2054667530071,0.0,0.0,8.923457979694966,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,0,289,8,1,0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,8.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1089,83521,1,64,1,3.18250399159683,23.820740645823825,0.0,0.0,5.666426688112432,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,0,4056,9,1,0,0.0,1.0,0.0,0.0,1.0,9.0,22.0,9.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,484,16451136,1,81,1,2.8438752934370206,78.12718495207177,0.0,0.0,8.30795254527102,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,0,12,1,0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,12.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,529,1,1,144,1,2.8813672520662377,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,0,8472,11,1,0,0.0,1.0,0.0,0.0,1.0,11.0,32.0,11.0,0.0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1024,71774784,1,121,1,3.157067208030971,107.72919553596554,0.0,0.0,9.044521887281242,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,0.0,0,0,2164,16,1,0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,16.0,0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,484,4682896,1,256,1,2.8438752934370206,59.25933586821255,0.0,0.0,7.679713639966372,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,33,0.0,0.0,1.0,0.0,0,0,12418,12,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1089,154206724,1,144,1,3.18250399159683,127.16631610186288,0.0,0.0,9.426902311924838,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
