treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,agesq,re78sq,re75sq,educsq,ageboxcox,re78boxcox,re75boxcox,lnre78,lnre75,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16,education_17
1.0,37,1.0,0.0,1.0,1.0,0,9930,11,1,0,0.0,1.0,1369,98604900,1,121,2.4408634917783916,126.80231438895684,0.0,9.203315757039219,0.0,0,0,0,1,0,0,0,0,0,0
1.0,22,0.0,1.0,0.0,1.0,0,3595,9,1,0,1.0,0.0,484,12924025,1,81,2.2027226725952516,80.39085664000521,0.0,8.187299270155147,0.0,0,1,0,0,0,0,0,0,0,0
1.0,30,1.0,0.0,0.0,0.0,0,24909,12,1,0,0.0,1.0,900,620458281,1,144,2.3482553378921756,190.93025409773844,0.0,10.122984462930141,0.0,0,0,0,0,1,0,0,0,0,0
1.0,27,1.0,0.0,0.0,1.0,0,7506,11,1,0,0.0,1.0,729,56340036,1,121,2.299993162735131,111.89315417487899,0.0,8.923457979694966,0.0,0,0,0,1,0,0,0,0,0,0
1.0,33,1.0,0.0,0.0,1.0,0,289,8,1,0,0.0,1.0,1089,83521,1,64,2.390904059683331,25.08632126308385,0.0,5.666426688112432,0.0,1,0,0,0,0,0,0,0,0,0
1.0,22,1.0,0.0,0.0,1.0,0,4056,9,1,0,0.0,1.0,484,16451136,1,81,2.2027226725952516,84.88307070602941,0.0,8.30795254527102,0.0,0,1,0,0,0,0,0,0,0,0
1.0,23,1.0,0.0,0.0,0.0,0,0,12,1,0,0.0,1.0,529,1,1,144,2.2242322106415826,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
1.0,32,1.0,0.0,0.0,1.0,0,8472,11,1,0,0.0,1.0,1024,71774784,1,121,2.3772380432122486,118.11883337720454,0.0,9.044521887281242,0.0,0,0,0,1,0,0,0,0,0,0
1.0,33,0.0,0.0,1.0,0.0,0,12418,12,1,0,0.0,0.0,1089,154206724,1,144,2.390904059683331,140.10094005452746,0.0,9.426902311924838,0.0,0,0,0,0,1,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,8173,9,1,0,0.0,1.0,361,66797929,1,81,2.1301824302037478,116.23649788698773,0.0,9.00859131751613,0.0,0,1,0,0,0,0,0,0,0,0
1.0,21,1.0,0.0,0.0,0.0,0,17094,13,1,0,0.0,1.0,441,292204836,1,169,2.179972317170379,161.52242032063424,0.0,9.746482803725963,0.0,0,0,0,0,0,1,0,0,0,0
1.0,18,1.0,0.0,0.0,1.0,0,0,8,1,0,0.0,1.0,324,1,1,64,2.102797552176702,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
1.0,27,1.0,0.0,1.0,1.0,0,18739,10,1,0,0.0,1.0,729,351150121,1,100,2.299993162735131,168.25753996033777,0.0,9.838362192575666,0.0,0,0,1,0,0,0,0,0,0,0
1.0,19,1.0,0.0,0.0,1.0,0,3228,10,1,0,0.0,1.0,361,10419984,1,100,2.1301824302037478,76.57750908316004,0.0,8.07961802938984,0.0,0,0,1,0,0,0,0,0,0,0
1.0,27,1.0,0.0,0.0,0.0,0,14581,13,1,0,0.0,1.0,729,212605561,1,169,2.299993162735131,150.48892950129618,0.0,9.587474590316285,0.0,0,0,0,0,0,1,0,0,0,0
1.0,23,1.0,0.0,0.0,1.0,0,7693,10,1,0,0.0,1.0,529,59182249,1,100,2.2242322106415826,113.13199641519736,0.0,8.948066103458935,0.0,0,0,1,0,0,0,0,0,0,0
1.0,40,1.0,0.0,0.0,0.0,0,10804,12,1,0,0.0,1.0,1600,116726416,1,144,2.4741513295833024,131.6671533204344,0.0,9.287671714912506,0.0,0,0,0,0,1,0,0,0,0,0
